i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.005777597427368 -0.0 0.0 0.10047574201598763 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
2 10.01070237159729 -0.0 0.0 0.10047574201598763 0 0 0 0.0 0.0 0.0 1.0 0.0 1.0 0 0 
3 10.015722036361694 -0.0 0.0 0.10047574201598763 0 0 0 0.0 0.0 0.0 1.0 0.0 1.0 0 0 
4 10.02071499824524 -0.0 0.0 0.10047574201598763 0 0 0 0.0 0.0 0.0 1.0 0.0 1.0 0 0 
5 10.025811910629272 -0.0 0.0 0.10047574201598763 0 0 0 0.0 0.0 0.0 1.0 0.0 1.0 0 0 
6 10.030767917633057 -0.0 0.0 0.10066748969256878 0 0 0 0.0 0.0 0.0 1.0 0.0 1.0 0 0 
7 10.035722255706787 -0.0 0.0 0.10085923736914992 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
8 10.04072093963623 -0.0 0.0 0.10105098504573107 0 0 0 0.0 0.0 0.0 2.0 1.0 1.0 0 0 
9 10.045735359191895 -0.0 0.00019174814224243164 0.10124273272231221 0 0 0 0.0 0.0 0.0 2.0 1.0 1.0 0 0 
10 10.05072283744812 -0.00019174814224243164 0.00019174814224243164 0.10143448039889336 0 0 0 0.0 0.0 0.0 2.0 1.0 1.0 0 0 
11 10.055717706680298 -0.00019174814224243164 0.00019174814224243164 0.10162622760981321 0 0 0 0.0 0.0 0.0 2.0 2.0 1.0 0 0 
12 10.060704469680786 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
13 10.065847635269165 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
14 10.071502208709717 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
15 10.075694561004639 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
16 10.080732583999634 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
17 10.086205005645752 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
18 10.090704917907715 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
19 10.095680713653564 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
20 10.100734949111938 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
21 10.105713844299316 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
22 10.110740900039673 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
23 10.115703582763672 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
24 10.120748281478882 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
25 10.125699758529663 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
26 10.130723237991333 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
27 10.135703563690186 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
28 10.14072322845459 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
29 10.145760297775269 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
30 10.150684356689453 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
31 10.155685186386108 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
32 10.160723686218262 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
33 10.165689706802368 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
34 10.170706748962402 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
35 10.17573881149292 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
36 10.180713176727295 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
37 10.185709238052368 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
38 10.1907057762146 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
39 10.19580626487732 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
40 10.200703859329224 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
41 10.20570707321167 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
42 10.210762977600098 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
43 10.21568751335144 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
44 10.220707416534424 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
45 10.225719928741455 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
46 10.23071026802063 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
47 10.2357017993927 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
48 10.240764379501343 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
49 10.245688915252686 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
50 10.251177310943604 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
51 10.255687952041626 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
52 10.260737657546997 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
53 10.265716314315796 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
54 10.27072548866272 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
55 10.27587890625 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
56 10.280733823776245 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
57 10.285730361938477 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
58 10.290754318237305 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
59 10.295703411102295 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
60 10.300724744796753 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
61 10.305687427520752 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
62 10.310722351074219 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
63 10.315699338912964 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
64 10.320680379867554 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
65 10.32569932937622 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
66 10.330694675445557 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
67 10.33569860458374 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
68 10.340717554092407 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
69 10.345702648162842 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
70 10.35071611404419 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
71 10.355700254440308 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
72 10.360691547393799 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
73 10.365754842758179 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
74 10.370727300643921 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
75 10.375766277313232 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
76 10.380697250366211 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
77 10.38602328300476 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
78 10.390887975692749 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
79 10.395706415176392 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
80 10.400707960128784 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
81 10.405704259872437 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
82 10.410746097564697 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
83 10.41586422920227 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
84 10.420732259750366 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
85 10.42575454711914 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
86 10.430730819702148 -0.00019174814224243164 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
87 10.435731172561646 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
88 10.440760612487793 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
89 10.44570541381836 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
90 10.450735330581665 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
91 10.455728769302368 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
92 10.460707664489746 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
93 10.465731859207153 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
94 10.470832824707031 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
95 10.475785255432129 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
96 10.480679273605347 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
97 10.485715627670288 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
98 10.490664005279541 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
99 10.495712041854858 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
100 10.500658988952637 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
101 10.505709886550903 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
102 10.51066279411316 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
103 10.51567530632019 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
104 10.520706415176392 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
105 10.52565598487854 -0.0 0.00019174814224243164 0.10181797528639436 0 0 0 0.0 0.0 0.0 3.0 2.0 1.0 0 0 
