i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
1 10.01071310043335 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
2 10.015697717666626 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
3 10.020772457122803 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
4 10.02569317817688 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
5 10.030760526657104 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
6 10.035799503326416 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
7 10.040772438049316 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
8 10.045840740203857 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
9 10.050700902938843 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
10 10.055725574493408 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
11 10.060712337493896 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
12 10.065919160842896 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
13 10.070757389068604 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
14 10.07592248916626 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
15 10.080777168273926 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
16 10.08582329750061 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
17 10.090680360794067 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
18 10.095840454101562 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
19 10.100709438323975 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
20 10.105677843093872 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
21 10.11069369316101 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
22 10.115692377090454 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
23 10.120813608169556 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
24 10.12569260597229 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
25 10.13071060180664 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
26 10.13573670387268 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
27 10.140716552734375 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
28 10.145706176757812 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
29 10.150709629058838 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
30 10.155718088150024 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
31 10.160909652709961 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
32 10.165846586227417 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
33 10.170686483383179 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
34 10.175678730010986 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
35 10.180678844451904 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
36 10.185734987258911 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
37 10.190783500671387 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
38 10.195696115493774 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
39 10.200716972351074 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
40 10.205679178237915 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
41 10.210679054260254 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
42 10.215672731399536 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
43 10.220720767974854 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
44 10.226137161254883 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
45 10.230693340301514 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
46 10.235856294631958 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
47 10.240696668624878 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
48 10.245723247528076 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
49 10.25069785118103 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
50 10.255711078643799 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
51 10.260723114013672 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
52 10.265674114227295 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
53 10.270718574523926 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
54 10.27568507194519 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
55 10.28076958656311 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
56 10.285752058029175 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
57 10.290751218795776 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
58 10.296057939529419 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
59 10.30075716972351 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
60 10.305806159973145 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
61 10.310699939727783 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
62 10.315881490707397 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
63 10.320701360702515 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
64 10.325716018676758 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
65 10.330692768096924 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
66 10.335766792297363 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
67 10.34070086479187 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
68 10.345734596252441 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
69 10.35070276260376 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
70 10.355697870254517 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
71 10.360701084136963 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
72 10.365731716156006 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
73 10.370705366134644 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
74 10.37572956085205 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
75 10.380882501602173 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
76 10.385700464248657 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
77 10.39074182510376 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
78 10.395698308944702 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
79 10.400738000869751 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
80 10.405699729919434 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
81 10.410729169845581 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
82 10.415846824645996 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
83 10.420728921890259 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
84 10.425686120986938 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
85 10.430737495422363 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
86 10.435730934143066 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
87 10.44072437286377 -0.0 0.0 0.08532768380246125 0 0 0 0.0 0.0 0.0 -1.0 -1.0 0.0 0 0 0 0 0 0 0 0 
