i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.005685329437256 -0.0 0.0 0.09740778058767319 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
2 10.01075792312622 -0.0 0.0 0.09740778058767319 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
3 10.016181230545044 -0.0 0.0 0.09740778058767319 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
4 10.020730972290039 -0.0 0.0 0.09740778058767319 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
5 10.025731325149536 -0.0 0.0 0.09740778058767319 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
6 10.031204462051392 -0.0 0.0 0.09740778058767319 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
7 10.03566861152649 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
8 10.040718078613281 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
9 10.045691013336182 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
10 10.05156946182251 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
11 10.055680751800537 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
12 10.060729026794434 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
13 10.0656578540802 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
14 10.070718765258789 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
15 10.075662851333618 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
16 10.080669164657593 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
17 10.085788249969482 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
18 10.090648651123047 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
19 10.095717668533325 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
20 10.10069489479065 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
21 10.105801105499268 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
22 10.111018896102905 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
23 10.11573076248169 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
24 10.120676517486572 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
25 10.12571907043457 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
26 10.13068962097168 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
27 10.135731935501099 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
28 10.140665769577026 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
29 10.14567518234253 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
30 10.15066123008728 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
31 10.155663967132568 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
32 10.160669565200806 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
33 10.165664911270142 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
34 10.170661926269531 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
35 10.175707340240479 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
36 10.180647134780884 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
37 10.18567943572998 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
38 10.190684795379639 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
39 10.19572401046753 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
40 10.200660228729248 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
41 10.20568060874939 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
42 10.211098909378052 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
43 10.215709686279297 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
44 10.22069501876831 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
45 10.225724458694458 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
46 10.230640172958374 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
47 10.235710620880127 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
48 10.240656614303589 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
49 10.245705604553223 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
50 10.250682353973389 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
51 10.255722045898438 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
52 10.260681390762329 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
53 10.265702247619629 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
54 10.270664930343628 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
55 10.27567195892334 -0.0 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
56 10.280666828155518 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
57 10.285873889923096 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
58 10.29066514968872 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
59 10.295702695846558 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
60 10.300687551498413 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
61 10.305711507797241 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
62 10.310649871826172 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
63 10.315805673599243 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
64 10.32064962387085 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
65 10.325709342956543 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
66 10.330766677856445 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
67 10.335707902908325 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
68 10.34086537361145 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
69 10.345666885375977 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
70 10.350670337677002 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
71 10.35566234588623 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
72 10.360699892044067 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
73 10.365673065185547 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
74 10.370708703994751 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
75 10.375686168670654 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
76 10.38067078590393 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
77 10.385707139968872 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
78 10.390666723251343 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 
79 10.395683526992798 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
80 10.400660991668701 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
81 10.405700206756592 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
82 10.410667181015015 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
83 10.415693998336792 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
84 10.420707941055298 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
85 10.425675392150879 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
86 10.430934429168701 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
87 10.435675144195557 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
88 10.440819263458252 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
89 10.445682525634766 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
90 10.45071291923523 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
91 10.455661535263062 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
92 10.46071195602417 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
93 10.465659618377686 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
94 10.4706871509552 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
95 10.475655555725098 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
96 10.480692625045776 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
97 10.485660791397095 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
98 10.490692853927612 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
99 10.495757102966309 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
100 10.500844955444336 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
101 10.505660057067871 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
102 10.510663747787476 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
103 10.515648365020752 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
104 10.520679950714111 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
105 10.525655031204224 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
106 10.530680656433105 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
107 10.535651683807373 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
108 10.540793418884277 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
109 10.545746088027954 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
110 10.550701141357422 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
111 10.5556960105896 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
112 10.560943365097046 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
113 10.565768718719482 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
114 10.570704221725464 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
115 10.575677871704102 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
116 10.580740690231323 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
117 10.585843801498413 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
118 10.590718030929565 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
119 10.595675945281982 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
120 10.600801706314087 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
121 10.605668544769287 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
122 10.610706329345703 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
123 10.615723133087158 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
124 10.620677709579468 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
125 10.625706672668457 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
126 10.630697250366211 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
127 10.63575530052185 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
128 10.640693187713623 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
129 10.645691871643066 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
130 10.650668621063232 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
131 10.656007289886475 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
132 10.660658836364746 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
133 10.665658473968506 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
134 10.670685291290283 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
135 10.675676584243774 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
136 10.680659294128418 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
137 10.685680866241455 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
138 10.690657615661621 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
139 10.695670366287231 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
140 10.700675249099731 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
141 10.70567512512207 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
142 10.710829734802246 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
143 10.715659856796265 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
144 10.72069001197815 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
145 10.725667715072632 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
146 10.730686664581299 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
147 10.735685348510742 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
148 10.74066948890686 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
149 10.74591326713562 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
150 10.750669240951538 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
151 10.755677223205566 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
152 10.760663032531738 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
153 10.765689849853516 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
154 10.77065896987915 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
155 10.775716543197632 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
156 10.780735969543457 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
157 10.785673141479492 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
158 10.790707111358643 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
159 10.795669317245483 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
160 10.800682306289673 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
161 10.805665969848633 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
162 10.81068229675293 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
163 10.815656185150146 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
164 10.820693254470825 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
165 10.825660467147827 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
166 10.830706119537354 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
167 10.83566665649414 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
168 10.840707063674927 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
169 10.84566879272461 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
170 10.850690603256226 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
171 10.855731964111328 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
172 10.860712766647339 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
173 10.865718841552734 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
174 10.870707511901855 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
175 10.875715732574463 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
176 10.880962371826172 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
177 10.885739803314209 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
178 10.89081358909607 0.00019174814224243164 0.0 0.09779127579531632 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 
