i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 
1 10.005727529525757 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 204562.0 -36815.0 -22494.0 
2 10.01078724861145 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 204832.0 -36737.0 -22794.0 
3 10.01583194732666 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 204833.0 -36737.0 -22794.0 
4 10.020783185958862 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 204833.0 -36737.0 -22794.0 
5 10.025716066360474 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 204833.0 -36737.0 -22794.0 
6 10.030769348144531 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 204833.0 -36737.0 -22794.0 
7 10.035722970962524 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 204833.0 -36737.0 -22793.0 
8 10.041236877441406 -0.00019174814224243164 0.0 0.0017257332801818848 0.0 -0.0 -0.0 -0.001409055322861698 0.001409055322861698 204833.0 -36737.0 -22793.0 
9 10.045715570449829 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22793.0 
10 10.051121234893799 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22793.0 
11 10.055716276168823 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22793.0 
12 10.061112403869629 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22793.0 
13 10.065697193145752 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22793.0 
14 10.070735931396484 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22793.0 
15 10.075753927230835 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22793.0 
16 10.080719709396362 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22793.0 
17 10.08573603630066 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22794.0 
18 10.090746641159058 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22795.0 
19 10.095762729644775 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22795.0 
20 10.100695133209229 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22796.0 
21 10.105722188949585 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22796.0 
22 10.11070466041565 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
23 10.115734577178955 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
24 10.120853662490845 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
25 10.125699520111084 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
26 10.13077163696289 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
27 10.135716915130615 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
28 10.140779972076416 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
29 10.145696640014648 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
30 10.150726079940796 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
31 10.155748128890991 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
32 10.160746335983276 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
33 10.16620397567749 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
34 10.170706033706665 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
35 10.175726413726807 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 204833.0 -36737.0 -22797.0 
