i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.005660057067871 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
2 10.010864019393921 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
3 10.015693426132202 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30188.0 0 0 
4 10.020695209503174 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30188.0 0 0 
5 10.02609896659851 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30188.0 0 0 
6 10.030763149261475 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30188.0 0 0 
7 10.036026000976562 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30188.0 0 0 
8 10.04065752029419 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30188.0 0 0 
9 10.045791149139404 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30188.0 0 0 
10 10.050639390945435 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
11 10.055725812911987 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
12 10.060641288757324 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
13 10.065820932388306 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
14 10.070639610290527 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
15 10.075887203216553 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
16 10.080646514892578 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
17 10.085672616958618 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
18 10.090646982192993 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
19 10.095684051513672 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
20 10.100636720657349 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
21 10.105668544769287 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
22 10.110660076141357 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
23 10.115662336349487 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
24 10.120631217956543 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
25 10.125659704208374 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
26 10.130631923675537 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
27 10.135994911193848 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
28 10.140633821487427 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
29 10.145670175552368 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
30 10.15075945854187 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
31 10.155657052993774 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
32 10.160653591156006 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
33 10.165659427642822 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
34 10.170634269714355 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
35 10.17565131187439 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
36 10.180668592453003 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
37 10.185667753219604 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
38 10.1906259059906 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
39 10.195630073547363 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
40 10.200620889663696 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
41 10.205634832382202 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
42 10.210619688034058 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
43 10.215628385543823 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
44 10.220632791519165 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
45 10.225646257400513 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
46 10.230696678161621 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
47 10.235650300979614 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
48 10.2406644821167 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
49 10.245647430419922 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
50 10.250655889511108 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
51 10.25567102432251 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
52 10.260621786117554 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
53 10.265662670135498 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
54 10.270628213882446 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
55 10.275689363479614 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
56 10.280638456344604 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
57 10.28565001487732 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
58 10.290650129318237 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
59 10.295655488967896 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
60 10.300662755966187 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
61 10.305644035339355 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
62 10.310660600662231 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
63 10.315682172775269 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
64 10.320651769638062 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
65 10.325671911239624 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
66 10.330668687820435 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
67 10.33564829826355 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
68 10.340633869171143 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
69 10.345688104629517 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
70 10.350657224655151 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
71 10.355670690536499 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
72 10.360701560974121 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
73 10.365646600723267 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
74 10.370675563812256 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
75 10.375625371932983 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
76 10.380680084228516 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
77 10.38564395904541 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
78 10.390659809112549 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
79 10.3956778049469 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
80 10.400693893432617 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
81 10.405663967132568 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
82 10.410618782043457 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
83 10.415642738342285 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
84 10.420654535293579 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
85 10.425626277923584 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
86 10.430660486221313 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
87 10.435657024383545 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
88 10.440687417984009 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
89 10.44563889503479 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
90 10.450650691986084 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
91 10.45566463470459 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
92 10.460651636123657 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
93 10.46564531326294 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
94 10.470694303512573 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
95 10.475634813308716 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
96 10.480672836303711 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
97 10.485639572143555 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
98 10.490694761276245 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
99 10.495646715164185 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
100 10.500654458999634 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
101 10.505691051483154 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
102 10.510721206665039 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
103 10.515655279159546 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
104 10.52063512802124 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
105 10.525684118270874 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
106 10.53083848953247 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
107 10.53568148612976 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
108 10.540756940841675 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
109 10.545998096466064 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
110 10.550640344619751 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
111 10.555684089660645 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
112 10.560635089874268 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
113 10.565655946731567 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
114 10.570643663406372 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
115 10.575677156448364 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
116 10.580737113952637 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
117 10.585769176483154 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
118 10.590639352798462 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
119 10.595715999603271 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
120 10.600765943527222 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
121 10.605649471282959 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
122 10.61070990562439 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
123 10.615635871887207 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
124 10.620721578598022 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
125 10.626055479049683 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
126 10.630666494369507 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
127 10.63572072982788 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
128 10.640639066696167 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
129 10.645649909973145 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
130 10.650644779205322 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
131 10.65565800666809 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
132 10.660633087158203 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
133 10.665634870529175 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
134 10.67065167427063 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
135 10.675860166549683 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
136 10.680655717849731 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
137 10.685737371444702 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
138 10.690650463104248 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
139 10.695639610290527 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
140 10.700629949569702 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
141 10.705644845962524 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
142 10.71073317527771 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
143 10.715636968612671 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
144 10.720638751983643 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
145 10.725641250610352 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
146 10.73067021369934 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
147 10.735647916793823 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
148 10.740642547607422 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
149 10.745660781860352 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
150 10.750649452209473 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
151 10.75563645362854 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
152 10.760632991790771 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
153 10.765639781951904 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
154 10.770650386810303 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
155 10.775635480880737 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
156 10.780680179595947 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
157 10.785648584365845 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
158 10.79080843925476 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
159 10.795700788497925 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
160 10.800875902175903 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
161 10.805689811706543 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
162 10.810653686523438 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
163 10.815716743469238 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
164 10.820635557174683 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
165 10.825803279876709 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
166 10.83078908920288 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
167 10.835670471191406 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
168 10.840826034545898 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
169 10.845763683319092 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
170 10.850705862045288 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
171 10.85567307472229 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
172 10.860660791397095 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
173 10.86567759513855 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
174 10.870671033859253 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
175 10.875649452209473 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
176 10.88085651397705 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
177 10.885648488998413 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
178 10.890827655792236 -0.0 0.0 0 0 0 0.0 0.0 0.0 -85994.0 10089.0 30189.0 0 0 
