i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.005760669708252 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
2 10.010693073272705 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
3 10.01574444770813 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
4 10.020819902420044 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
5 10.025778532028198 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
6 10.030662298202515 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
7 10.035714626312256 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
8 10.041494846343994 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
9 10.046140909194946 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 
10 10.050642728805542 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 0.0 0 0 
11 10.055697917938232 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
12 10.060716152191162 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
13 10.065672874450684 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
14 10.07088017463684 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
15 10.075713872909546 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
16 10.080795049667358 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
17 10.085752725601196 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
18 10.09066891670227 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
19 10.095933198928833 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
20 10.10073208808899 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
21 10.10596251487732 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
22 10.110888957977295 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
23 10.115988492965698 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
24 10.12075686454773 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
25 10.125682353973389 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
26 10.13062310218811 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
27 10.135671377182007 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
28 10.14066743850708 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
29 10.145657539367676 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
30 10.150621175765991 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
31 10.155774354934692 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
32 10.160764694213867 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
33 10.165771961212158 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
34 10.170663118362427 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
35 10.175619125366211 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
36 10.1806321144104 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
37 10.185672998428345 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
38 10.19068431854248 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
39 10.195667743682861 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
40 10.200679779052734 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
41 10.205847024917603 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
42 10.21100401878357 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
43 10.215872287750244 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
44 10.220659971237183 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
45 10.225702285766602 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
46 10.230633020401001 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
47 10.23569631576538 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
48 10.240670442581177 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
49 10.24566912651062 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
50 10.250822305679321 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
51 10.25584602355957 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
52 10.260812282562256 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
53 10.265776634216309 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
54 10.270711421966553 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
55 10.27566933631897 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
56 10.280702114105225 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
57 10.285709381103516 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
58 10.290697574615479 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
59 10.295661687850952 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
60 10.300661325454712 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
61 10.305732250213623 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
62 10.310638666152954 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
63 10.31573486328125 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
64 10.320639848709106 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
65 10.325612783432007 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
66 10.330658912658691 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
67 10.335676431655884 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
68 10.340700626373291 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
69 10.345665454864502 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
70 10.350620985031128 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
71 10.355599164962769 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
72 10.360615253448486 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
73 10.365598201751709 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
74 10.370603084564209 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
75 10.375596284866333 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
76 10.380597829818726 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
77 10.385595798492432 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
78 10.390604496002197 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
79 10.395641088485718 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
80 10.400618076324463 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
81 10.405652046203613 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
82 10.410630226135254 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
83 10.415591478347778 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
84 10.420614242553711 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
85 10.425600051879883 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
86 10.430602312088013 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
87 10.4356050491333 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
88 10.440602779388428 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
89 10.445667266845703 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
90 10.450594663619995 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
91 10.455659866333008 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
92 10.460590124130249 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
93 10.465599536895752 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
94 10.470599889755249 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
95 10.475606441497803 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
96 10.480590343475342 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
97 10.485682725906372 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
98 10.490597009658813 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
99 10.495638370513916 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
100 10.500612735748291 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
101 10.505596160888672 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
102 10.510593891143799 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
103 10.515591859817505 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
104 10.520597696304321 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
105 10.525611877441406 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
106 10.530592679977417 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
107 10.535657167434692 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
108 10.540594577789307 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
109 10.545654058456421 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
110 10.550595760345459 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
111 10.555617332458496 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
112 10.560594081878662 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
113 10.565656423568726 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
114 10.570594310760498 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
115 10.575657844543457 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
116 10.580612659454346 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
117 10.585615634918213 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
118 10.59062123298645 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
119 10.595612525939941 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
120 10.60061764717102 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
121 10.60561728477478 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
122 10.610607385635376 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
123 10.615602970123291 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
124 10.620595216751099 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
125 10.625601530075073 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
126 10.630600690841675 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
127 10.635647773742676 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
128 10.64061951637268 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
129 10.645654678344727 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
130 10.650596618652344 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
131 10.655655860900879 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
132 10.660595893859863 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
133 10.66565203666687 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
134 10.670598030090332 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
135 10.675888538360596 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
136 10.680604457855225 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
137 10.685654401779175 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
138 10.690615177154541 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
139 10.695618629455566 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
140 10.700616121292114 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
141 10.70561408996582 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
142 10.710598945617676 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
143 10.715676069259644 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
144 10.720600843429565 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
145 10.725675582885742 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
146 10.730599403381348 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
147 10.735870122909546 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
148 10.740620851516724 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
149 10.745655298233032 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
150 10.750597476959229 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
151 10.755617141723633 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
152 10.760597705841064 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
153 10.765676498413086 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
154 10.770596504211426 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
155 10.775614023208618 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
156 10.780619144439697 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
157 10.785643815994263 -0.0 0.0 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 
