i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
1 10.000644445419312 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 
2 10.00565791130066 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 -1.0 -1.0 0 0 0 0 0 0 0 0 
3 10.010651350021362 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 -1.0 -1.0 0 0 0 0 0 0 0 0 
4 10.015647172927856 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 -1.0 -1.0 0 0 0 0 0 0 0 0 
5 10.020695686340332 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 -1.0 -1.0 0 0 0 0 0 0 0 0 
6 10.025726795196533 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 -1.0 -1.0 0 0 0 0 0 0 0 0 
7 10.030794382095337 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 -1.0 -1.0 0 0 0 0 0 0 0 0 
8 10.035783767700195 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 -1.0 -1.0 0 0 0 0 0 0 0 0 
9 10.040746450424194 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
10 10.045793056488037 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
11 10.050749778747559 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
12 10.055782794952393 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
13 10.061300277709961 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
14 10.065874576568604 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
15 10.070775508880615 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
16 10.076050758361816 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
17 10.080873250961304 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
18 10.085763692855835 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
19 10.090805768966675 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
20 10.095744609832764 -0.0 0.0 -1.247318111360073 0 0 0 0.0 0.0 0.0 -19.0 0.0 -1.0 0 0 0 0 0 0 0 0 
