i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
1 10.000748634338379 -0.0 0.0 0.09587380290031433 0 0 0 0.0 0.0 0.0 -1.0 1.0 0.0 0 0 0 0 0 0 0 0 
2 10.005728483200073 -0.0 0.0 0.09587380290031433 0 0 0 0.0 0.0 0.0 -1.0 1.0 0.0 0 0 0 0 0 0 0 0 
3 10.01121473312378 -0.0 0.0 0.09587380290031433 0 0 0 0.0 0.0 0.0 -1.0 1.0 0.0 0 0 0 0 0 0 0 0 
4 10.015750169754028 -0.0 0.0 0.09587380290031433 0 0 0 0.0 0.0 0.0 -1.0 1.0 0.0 0 0 0 0 0 0 0 0 
5 10.020751476287842 -0.0 0.0 0.09587380290031433 0 0 0 0.0 0.0 0.0 -1.0 1.0 0.0 0 0 0 0 0 0 0 0 
6 10.025737047195435 -0.0 0.0 0.09587380290031433 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 0 0 0 0 0 0 
7 10.030768632888794 -0.0 0.0 0.09587380290031433 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 0 0 0 0 0 0 
8 10.035753965377808 -0.0 0.0 0.09587380290031433 0 0 0 0.0 0.0 0.0 0.0 1.0 0.0 0 0 0 0 0 0 0 0 
9 10.040735244750977 -0.0 0.0 0.09587380290031433 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 
10 10.045724153518677 -0.0 0.0 0.09587380290031433 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 
11 10.050863265991211 -0.0 0.0 0.09587380290031433 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 
12 10.055752992630005 -0.0 0.0 0.09625729810795747 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
13 10.06075406074524 -0.0 0.0 0.09625729810795747 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
14 10.065720558166504 -0.0 0.0 0.09625729810795747 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
15 10.070748567581177 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
16 10.075741052627563 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
17 10.08107614517212 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
18 10.085724115371704 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
19 10.090770483016968 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
20 10.09579086303711 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
21 10.101058721542358 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
22 10.105737686157227 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
23 10.11112356185913 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
24 10.115859270095825 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
25 10.120706558227539 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
26 10.12570071220398 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
27 10.13071084022522 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
28 10.135716438293457 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
29 10.140722513198853 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
30 10.145691871643066 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
31 10.15074634552002 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
32 10.155791997909546 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
33 10.160747528076172 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
34 10.165793418884277 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
35 10.170706987380981 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
36 10.175748348236084 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
37 10.180700302124023 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
38 10.185746669769287 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
39 10.19069790840149 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
40 10.195755004882812 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
41 10.200695276260376 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
42 10.205753564834595 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
43 10.210708618164062 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
44 10.215746641159058 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
45 10.22073245048523 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
46 10.225699424743652 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
47 10.23068356513977 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
48 10.235736846923828 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
49 10.240898847579956 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
50 10.2457275390625 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
51 10.250702619552612 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
52 10.25570821762085 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
53 10.260692358016968 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
54 10.265698909759521 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
55 10.270709037780762 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
56 10.275693416595459 -0.0 0.0 0.09644904569722712 0 0 0 0.0 0.0 0.0 1.0 2.0 1.0 0 0 0 0 0 0 0 0 
