i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.030767440795898 -0.0 0.0 -0.13805827498435974 0 0 0 0.0 0.0 0.0 1601.0 444.0 -838.0 0 0 
2 10.035982131958008 -0.0 0.0 -0.13805827498435974 0 0 0 0.0 0.0 0.0 1623.0 447.0 -855.0 0 0 
3 10.040804862976074 -0.0 0.0 -0.13805827498435974 0 0 0 0.0 0.0 0.0 1623.0 447.0 -855.0 0 0 
4 10.045760869979858 -0.0 0.0 -0.13805827498435974 0 0 0 0.0 0.0 0.0 1623.0 447.0 -855.0 0 0 
5 10.050816059112549 -0.0 0.0 -0.13805827498435974 0 0 0 0.0 0.0 0.0 1623.0 447.0 -855.0 0 0 
6 10.05574893951416 -0.0 0.0 -0.1378665268421173 0 0 0 0.0 0.0 0.0 1623.0 448.0 -854.0 0 0 
7 10.060797214508057 -0.0 0.0 -0.1378665268421173 0 0 0 0.0 0.0 0.0 1623.0 448.0 -854.0 0 0 
8 10.065753698348999 -0.0 0.0 -0.13767477869987488 0 0 0 0.0 0.0 0.0 1623.0 449.0 -854.0 0 0 
9 10.070861339569092 -0.0 0.0 -0.13748303055763245 0 0 0 0.0 0.0 0.0 1623.0 449.0 -853.0 0 0 
10 10.075895071029663 -0.0 0.00019174814224243164 -0.13729128241539001 0 0 0 0.0 0.0 0.0 1623.0 449.0 -853.0 0 0 
11 10.08078932762146 -0.0 0.00019174814224243164 -0.13729128241539001 0 0 0 0.0 0.0 0.0 1623.0 449.0 -853.0 0 0 
12 10.085716009140015 -0.0 0.00019174814224243164 -0.13709953427314758 0 0 0 0.0 0.0 0.0 1623.0 450.0 -853.0 0 0 
13 10.090759754180908 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1623.0 450.0 -852.0 0 0 
14 10.095712900161743 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1623.0 450.0 -852.0 0 0 
15 10.100793361663818 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1623.0 450.0 -852.0 0 0 
16 10.105715990066528 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1623.0 450.0 -852.0 0 0 
17 10.11075472831726 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1623.0 450.0 -852.0 0 0 
18 10.115899085998535 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1623.0 450.0 -852.0 0 0 
19 10.120752334594727 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1623.0 450.0 -852.0 0 0 
20 10.125841856002808 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1623.0 450.0 -852.0 0 0 
21 10.130981683731079 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1623.0 450.0 -852.0 0 0 
22 10.135725736618042 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1624.0 450.0 -852.0 0 0 
23 10.140789270401001 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1624.0 450.0 -852.0 0 0 
24 10.14572262763977 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1624.0 450.0 -852.0 0 0 
25 10.150786399841309 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1624.0 450.0 -852.0 0 0 
26 10.15580439567566 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1624.0 450.0 -852.0 0 0 
27 10.16076374053955 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1624.0 450.0 -852.0 0 0 
28 10.165747880935669 -0.0 0.00019174814224243164 -0.13690778613090515 0 0 0 0.0 0.0 0.0 1624.0 450.0 -852.0 0 0 
