i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 
1 10.01087498664856 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 176529.0 -89160.0 109759.0 
2 10.015862703323364 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 176529.0 -89160.0 109759.0 
3 10.020857095718384 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 176529.0 -89160.0 109760.0 
4 10.025786399841309 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 176529.0 -89160.0 109760.0 
5 10.030825853347778 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 176530.0 -89160.0 109760.0 
6 10.035788297653198 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 176530.0 -89160.0 109761.0 
7 10.040802478790283 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 176530.0 -89159.0 109761.0 
8 10.045789957046509 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 176530.0 -89159.0 109761.0 
9 10.050845861434937 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 176530.0 -89159.0 109761.0 
10 10.05579161643982 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 176530.0 -89159.0 109762.0 
11 10.060854434967041 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 176531.0 -89159.0 109762.0 
12 10.065791130065918 -0.00019174814224243164 0.0 0.005560696125030518 0.0 -0.0 -0.0 -0.004540289373665471 0.004540289373665471 176531.0 -89159.0 109762.0 
13 10.070927381515503 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 176531.0 -89159.0 109762.0 
14 10.07587194442749 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 176531.0 -89158.0 109762.0 
15 10.080880880355835 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 176531.0 -89158.0 109762.0 
16 10.085792779922485 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 176531.0 -89158.0 109762.0 
