i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 
1 10.000738382339478 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130598.0 -63579.0 -6165.0 
2 10.00572156906128 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130603.0 -63574.0 -6166.0 
3 10.01088833808899 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130603.0 -63574.0 -6166.0 
4 10.015710830688477 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130603.0 -63574.0 -6166.0 
5 10.020761013031006 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130603.0 -63574.0 -6166.0 
6 10.025704145431519 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130603.0 -63574.0 -6166.0 
7 10.031059265136719 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130603.0 -63574.0 -6165.0 
8 10.035711526870728 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130603.0 -63574.0 -6165.0 
9 10.040841817855835 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130604.0 -63573.0 -6165.0 
10 10.045720338821411 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130604.0 -63573.0 -6164.0 
11 10.050743579864502 -0.0 0.00019174814224243164 0.0 -0.013614118099212646 -0.0 0.012835513637103696 -0.006417756818551848 -0.006417756818551848 130604.0 -63573.0 -6164.0 
12 10.055766582489014 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 130604.0 -63573.0 -6164.0 
13 10.060778379440308 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 130604.0 -63573.0 -6164.0 
14 10.065714836120605 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 130605.0 -63573.0 -6164.0 
15 10.070746183395386 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 130605.0 -63573.0 -6164.0 
16 10.075735330581665 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 130605.0 -63573.0 -6164.0 
17 10.081049680709839 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 130605.0 -63573.0 -6164.0 
18 10.08571195602417 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 130605.0 -63574.0 -6165.0 
19 10.090781211853027 -0.00019174814224243164 0.00019174814224243164 0.0013422369956970215 -0.002109229564666748 -0.0 0.001988600704340009 -0.002090232269951325 0.00010163156561131606 130605.0 -63574.0 -6166.0 
20 10.09570574760437 -0.00019174814224243164 0.00019174814224243164 -0.002109229564666748 -0.002109229564666748 -0.0 0.001988600704340009 0.000727878375772071 -0.00271647908011208 130605.0 -63575.0 -6166.0 
21 10.100767612457275 -0.00019174814224243164 0.00019174814224243164 -0.002109229564666748 -0.002109229564666748 -0.0 0.001988600704340009 0.000727878375772071 -0.00271647908011208 130605.0 -63575.0 -6166.0 
22 10.105840682983398 -0.00019174814224243164 0.0 -0.002109229564666748 0.011504888534545898 -0.0 -0.010846912932763688 0.007145635194323919 0.0037012777384397674 130605.0 -63575.0 -6166.0 
23 10.11074161529541 -0.00019174814224243164 0.0 -0.002109229564666748 0.0 -0.0 -0.0 0.0017221787279420755 -0.0017221787279420755 130605.0 -63576.0 -6167.0 
24 10.115673303604126 -0.0 0.0 -0.0034514665603637695 0.0 -0.0 -0.0 0.002818110645723396 -0.002818110645723396 130605.0 -63576.0 -6167.0 
25 10.120682001113892 0.00019174814224243164 0.0 -0.0013422369956970215 0.0 -0.0 -0.0 0.0010959319177813206 -0.0010959319177813206 130605.0 -63576.0 -6167.0 
26 10.125657320022583 0.00019174814224243164 0.0 0.002109229564666748 0.0 -0.0 -0.0 -0.0017221787279420755 0.0017221787279420755 130605.0 -63576.0 -6167.0 
27 10.130635738372803 0.00019174814224243164 0.0 0.002109229564666748 0.0 -0.0 -0.0 -0.0017221787279420755 0.0017221787279420755 130604.0 -63575.0 -6166.0 
28 10.135629892349243 0.00019174814224243164 0.0 0.002109229564666748 0.0 -0.0 -0.0 -0.0017221787279420755 0.0017221787279420755 130604.0 -63574.0 -6166.0 
29 10.140637397766113 -0.0 0.0 0.0034514665603637695 0.0 -0.0 -0.0 -0.002818110645723396 0.002818110645723396 130604.0 -63574.0 -6166.0 
30 10.14564323425293 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130604.0 -63574.0 -6166.0 
31 10.150635242462158 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 130604.0 -63574.0 -6166.0 
32 10.155651092529297 -0.0 0.00019174814224243164 0.0 -0.013614118099212646 -0.0 0.012835513637103696 -0.006417756818551848 -0.006417756818551848 130604.0 -63574.0 -6166.0 
33 10.160649538040161 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 130604.0 -63574.0 -6166.0 
34 10.1656494140625 0.00019174814224243164 0.00019174814224243164 -0.0013422369956970215 -0.002109229564666748 -0.0 0.001988600704340009 0.00010163156561131606 -0.002090232269951325 130604.0 -63574.0 -6165.0 
35 10.17063021659851 -0.0 0.00019174814224243164 0.0034514665603637695 -0.002109229564666748 -0.0 0.001988600704340009 -0.0038124109978934003 0.0018238102935533916 130605.0 -63574.0 -6165.0 
36 10.175638675689697 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 130605.0 -63574.0 -6164.0 
37 10.180644273757935 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 130605.0 -63574.0 -6164.0 
38 10.185675859451294 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 130605.0 -63574.0 -6164.0 
39 10.190675735473633 -0.0 0.0003834962844848633 0.0 -0.015723347663879395 -0.0 0.014824114341443706 -0.007412057170721853 -0.007412057170721853 130605.0 -63574.0 -6164.0 
40 10.195638179779053 -0.00019174814224243164 0.0003834962844848633 0.0013422369956970215 -0.004218459129333496 -0.0 0.003977201408680018 -0.00308453262212133 -0.0008926687865586886 130605.0 -63574.0 -6165.0 
