i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 
1 10.005882024765015 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34328.0 -63026.0 85735.0 
2 10.010837316513062 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63028.0 85791.0 
3 10.015804767608643 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63028.0 85791.0 
4 10.020737171173096 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63028.0 85791.0 
5 10.025837421417236 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63028.0 85791.0 
6 10.030806064605713 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63028.0 85791.0 
7 10.03600001335144 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63028.0 85791.0 
8 10.040816068649292 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63027.0 85792.0 
9 10.046273946762085 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63027.0 85792.0 
10 10.050729990005493 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63027.0 85793.0 
11 10.055896282196045 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63027.0 85793.0 
12 10.06095004081726 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63027.0 85793.0 
13 10.066445350646973 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 34312.0 -63026.0 85793.0 
14 10.070713996887207 -0.0 0.00019174814224243164 0.0 -0.005944192409515381 -0.0 0.005604238348594572 -0.002802119174297286 -0.002802119174297286 34312.0 -63026.0 85793.0 
15 10.075967073440552 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 34312.0 -63026.0 85793.0 
16 10.080876111984253 -0.0 0.00019174814224243164 0.0 -0.002109229564666748 -0.0 0.001988600704340009 -0.0009943003521700046 -0.0009943003521700046 34312.0 -63026.0 85793.0 
17 10.085833072662354 -0.00019174814224243164 0.00019174814224243164 0.0017257332801818848 -0.002109229564666748 -0.0 0.001988600704340009 -0.0024033556750317027 0.0004147549706916935 34312.0 -63026.0 85793.0 
