i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 
1 10.010743856430054 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13798.0 2788.0 -10580.0 
2 10.015761375427246 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13798.0 2788.0 -10580.0 
3 10.020917892456055 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2708.0 -10530.0 
4 10.025695085525513 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2708.0 -10530.0 
5 10.030749082565308 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2708.0 -10530.0 
6 10.035722494125366 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2708.0 -10530.0 
7 10.040725708007812 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
8 10.045700311660767 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
9 10.050998210906982 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
10 10.055747032165527 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
11 10.060729742050171 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
12 10.065707206726074 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
13 10.070875883102417 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
14 10.07576870918274 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
15 10.080670833587646 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
16 10.085713148117065 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
17 10.090645551681519 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
18 10.095776796340942 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
19 10.100668907165527 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
20 10.10567831993103 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
21 10.110774278640747 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
22 10.115684986114502 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
23 10.120651245117188 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
24 10.125694513320923 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
25 10.130659103393555 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
26 10.135697603225708 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
27 10.140657901763916 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
28 10.14573335647583 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
29 10.150669574737549 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
30 10.155709266662598 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
31 10.160661697387695 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
32 10.165709257125854 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13802.0 2709.0 -10530.0 
