i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
1 10.005714416503906 -0.0 0.0 0.08954612910747528 0 0 0 0.0 0.0 0.0 -1.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
2 10.011245250701904 -0.0 0.0 0.08954612910747528 0 0 0 0.0 0.0 0.0 -1.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
3 10.015941143035889 -0.0 0.0 0.08954612910747528 0 0 0 0.0 0.0 0.0 -1.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
4 10.02074670791626 -0.0 0.0 0.08954612910747528 0 0 0 0.0 0.0 0.0 -1.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
5 10.025693416595459 -0.0 0.0 0.08954612910747528 0 0 0 0.0 0.0 0.0 -1.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
6 10.030755996704102 -0.0 0.0 0.08954612910747528 0 0 0 0.0 0.0 0.0 -1.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
7 10.035714387893677 -0.0 0.0 0.08954612910747528 0 0 0 0.0 0.0 0.0 -1.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
8 10.040740489959717 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
9 10.045700311660767 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
10 10.050707340240479 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
11 10.055684566497803 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
12 10.060706615447998 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
13 10.065658807754517 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
14 10.070759534835815 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
15 10.075684547424316 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
16 10.080670833587646 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
17 10.085800647735596 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
18 10.090660095214844 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
19 10.095694541931152 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
20 10.100680112838745 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
21 10.105668783187866 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
22 10.110711097717285 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
23 10.115666151046753 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
24 10.121224403381348 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
25 10.125688076019287 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
26 10.130996942520142 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
27 10.136639595031738 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
28 10.14097785949707 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
29 10.145659923553467 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
30 10.150893449783325 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
31 10.155661821365356 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
32 10.160836219787598 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
33 10.165658712387085 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
34 10.17071533203125 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
35 10.175649404525757 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
36 10.180672645568848 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
37 10.185677289962769 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
38 10.190675020217896 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
39 10.19580364227295 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
40 10.200678586959839 -0.0 0.0 0.08992962431511842 0 0 0 0.0 0.0 0.0 0.0 2.0 1.0 0 0 0 0 0 0 0 0 0 
