i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.005712032318115 -0.0 0.0 0 0 0 0.0 0.0 0.0 -556.0 9258.0 -813.0 0 0 
2 10.01113224029541 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9609.0 -1037.0 0 0 
3 10.015861988067627 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9609.0 -1037.0 0 0 
4 10.0207359790802 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9609.0 -1037.0 0 0 
5 10.026238679885864 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9609.0 -1037.0 0 0 
6 10.030709266662598 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9610.0 -1037.0 0 0 
7 10.03607177734375 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9610.0 -1037.0 0 0 
8 10.040729999542236 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9611.0 -1037.0 0 0 
9 10.046130418777466 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9611.0 -1037.0 0 0 
10 10.05071210861206 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9611.0 -1036.0 0 0 
11 10.055768728256226 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9611.0 -1036.0 0 0 
12 10.060711145401001 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9611.0 -1036.0 0 0 
13 10.065743446350098 -0.0 0.0 0 0 0 0.0 0.0 0.0 -609.0 9611.0 -1036.0 0 0 
14 10.07083797454834 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
15 10.075997829437256 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
16 10.081019878387451 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
17 10.085959911346436 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
18 10.09109091758728 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
19 10.095778942108154 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
20 10.100905895233154 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
21 10.105623245239258 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
22 10.11082148551941 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
23 10.115653276443481 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
24 10.120624780654907 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
25 10.12562608718872 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
26 10.130738973617554 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
27 10.135657787322998 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
28 10.140625476837158 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
29 10.14566445350647 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
30 10.150658130645752 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
31 10.155621528625488 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
32 10.160660028457642 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
33 10.165630102157593 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
34 10.170685768127441 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
35 10.175623893737793 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
36 10.180660963058472 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
37 10.185656785964966 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
38 10.190741777420044 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
39 10.195657968521118 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
40 10.200845003128052 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
41 10.205658197402954 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
42 10.210644245147705 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
43 10.215626001358032 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
44 10.22062063217163 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
45 10.225659847259521 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
46 10.230615615844727 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
47 10.23565411567688 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
48 10.240630626678467 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
49 10.24565839767456 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
50 10.250667572021484 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
51 10.255661010742188 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
52 10.260626316070557 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
53 10.265662431716919 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
54 10.270618200302124 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
55 10.275657176971436 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
56 10.280621767044067 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
57 10.285636901855469 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
58 10.290641069412231 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
59 10.295636892318726 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
60 10.300623178482056 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
61 10.305624008178711 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
62 10.310841798782349 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
63 10.31569504737854 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
64 10.320682287216187 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
65 10.325661420822144 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
66 10.330631494522095 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
67 10.335679292678833 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
68 10.340631246566772 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
69 10.345654010772705 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
70 10.350633382797241 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
71 10.355664253234863 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
72 10.360621929168701 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
73 10.365620851516724 -0.0 0.0 0 0 0 0.0 0.0 0.0 -608.0 9611.0 -1036.0 0 0 
