i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy 
1012 15.06086540222168 -0.02569417655467987 -0.013038843870162964 -0.0028762146830558777 -0.18475014666721223 0.11722976621985433 0.0 -0.1105252835346302 0.20611050484698978 -0.09558522131235958 -13.0 19.0 26.0 -0.1804830303788185 0.14603505134582517 -4.8657159060239784e-05 -4.362258315086365e-05 -0.004218459129333496 -0.028761662542819977 
1013 15.06583857536316 -0.02569417655467987 -0.013038843870162964 -0.0028762146830558777 -0.1805356110820174 0.14598816905170678 0.0 -0.1376389657459599 0.21622619205714483 -0.07858722631118492 -13.0 19.0 26.0 -0.1804830303788185 0.14603505134582517 -5.258070319890975e-05 -4.688229411840439e-05 0.0 0.0 
1014 15.070838212966919 -0.023968450725078583 -0.011121362447738647 -0.0023009777069091797 -0.1986592244055122 -0.019301509901881227 0.0 0.018197638051679343 0.15310575847101487 -0.17130339652269422 -16.0 29.0 23.0 -0.1606371833384037 0.12455925941467284 -5.60728158801794e-05 -4.9662634730339055e-05 -0.0379659682512283 -0.14381110668182373 
1015 15.075821161270142 -0.02358495444059372 -0.00939563661813736 -0.002109229564666748 -0.1647233633799851 -0.024250318640843038 0.0 0.022863419675832865 0.12306435316075677 -0.14592777283658964 -17.0 34.0 21.0 -0.15622697606682778 0.10523113012313842 -5.946905449032782e-05 -5.201154388487339e-05 -0.008436918258666992 -0.1294294372200966 
1016 15.080858945846558 -0.022817961871623993 -0.007669910788536072 -0.002109229564666748 -0.16434307158596814 -0.043580365410074595 0.0 0.04108796254406853 0.11364157477706922 -0.15472953732113776 -18.0 38.0 20.0 -0.14740656152367593 0.085903000831604 -6.267354495823383e-05 -5.392902158200741e-05 -0.016873836517333984 -0.1294294372200966 
1017 15.085817337036133 -0.021859221160411835 -0.00632767379283905 -0.0019174814224243164 -0.15753897734165193 -0.029853339137509472 0.0 0.0281459980602596 0.11455703733217948 -0.1427030353924391 -20.0 43.0 19.0 -0.1363810433447361 0.07086994647979736 -6.563835024833679e-05 -5.5510940030217175e-05 -0.02109229564666748 -0.10066777467727661 
1018 15.090874671936035 -0.020900487899780273 -0.005560681223869324 -0.0015339851379394531 -0.14651610605359078 0.004698285924270745 0.0 -0.0044295864493402 0.12184469286827104 -0.11741510641893084 -21.0 47.0 18.0 -0.12535561084747315 0.06227962970733642 -6.836347222328185e-05 -5.690111033618451e-05 -0.021092131733894348 -0.05752444267272949 
1019 15.09598159790039 -0.019749999046325684 -0.004793696105480194 -0.0009587407112121582 -0.1375065447807312 -0.003892587032169105 0.0 0.0036699662490741218 0.11043864054411519 -0.11410860679318932 -21.0 52.0 16.0 -0.11212498903274536 0.05368939638137817 -7.080097198486327e-05 -5.809953436255455e-05 -0.025310754776000977 -0.05752388387918472 
1020 15.10082483291626 -0.018791258335113525 -0.004218451678752899 -0.00019174814224243164 -0.12226476528704167 0.0040441726502031036 0.0 -0.003812882540330381 0.10173520409496561 -0.09792232155463523 -21.0 56.0 15.0 -0.10109947085380554 0.047246658802032465 -7.299878656864165e-05 -5.915414728224278e-05 -0.02109229564666748 -0.04314333200454712 
1021 15.10587453842163 -0.018791258335113525 -0.004218451678752899 -0.00019174814224243164 -0.10117466745495796 0.04718645004183054 0.0 -0.044487811739598156 0.10485267592327191 -0.06036486418367376 -21.0 56.0 15.0 -0.10109947085380554 0.047246658802032465 -7.519660115242003e-05 -6.0208760201931004e-05 0.0 0.0 
1022 15.110854625701904 -0.016873784363269806 -0.0034514591097831726 0.001150481402873993 -0.12130986260540783 -0.01892917226813734 -0.0 0.017846594764064336 0.0901257906680955 -0.10797238543215984 -20.0 64.0 11.0 -0.07904852017760276 0.03865634202957153 -7.691504724323748e-05 -6.10716249793768e-05 -0.04218442738056183 -0.05752444267272949 
1023 15.115862607955933 -0.01610679179430008 -0.003259710967540741 0.0019174739718437195 -0.0871803838969767 0.02206576561555266 -0.0 -0.020803803331773646 0.08158438704173487 -0.06078058370996123 -19.0 67.0 9.0 -0.07022810563445091 0.03650876283645629 -7.844174519181249e-05 -6.188655272126199e-05 -0.016873836517333984 -0.014381110668182373 
1024 15.12082052230835 -0.015148058533668518 -0.003259710967540741 0.0028762072324752808 -0.08037453363090753 0.036446061355993147 -0.0 -0.03436167617648497 0.08280636999153901 -0.04844469381505402 -19.0 70.0 7.0 -0.05920267313718795 0.03650876283645629 -7.972875982522961e-05 -6.270148046314717e-05 -0.021092131733894348 0.0 
1025 15.125853300094604 -0.014381065964698792 -0.0034514591097831726 0.0036431998014450073 -0.06733691913768648 0.05297388835251331 -0.0 -0.04994426090650829 0.0799524946993819 -0.030008233792873613 -18.0 73.0 6.0 -0.0503822585940361 0.03865634202957153 -8.082402631640432e-05 -6.356434524059297e-05 -0.016873836517333984 0.014381110668182373 
1026 15.1308274269104 -0.013422325253486633 -0.0036432072520256042 0.0046019405126571655 -0.06053071566939353 0.05512055674381554 -0.0 -0.05196815927510646 0.07540720202272136 -0.023439042747614908 -18.0 76.0 5.0 -0.03935674041509628 0.040803921222686765 -8.167960762977598e-05 -6.447514705359935e-05 -0.02109229564666748 0.014381110668182373 
1027 15.135858535766602 -0.012463591992855072 -0.003834955394268036 0.005560673773288727 -0.049505119259357445 0.057267177198082206 -0.0 -0.053992012448234074 0.06741676683780169 -0.013424754389567634 -18.0 78.0 3.0 -0.028331307917833327 0.042951500415802 -8.167960762977598e-05 -6.543388590216637e-05 -0.021092131733894348 0.014381110668182373 
1028 15.140826225280762 -0.011504851281642914 -0.0040267035365104675 0.006519414484500885 -0.03847976499319076 0.05941374971531332 -0.0 -0.05601582042589113 0.05942650676478822 -0.0034106863388970827 -18.0 80.0 2.0 -0.017305789738893507 0.045099079608917236 -8.167960762977598e-05 -6.644056178629398e-05 -0.02109229564666748 0.014381110668182373 
1029 15.145858764648438 -0.010546118021011353 -0.003834955394268036 0.007286407053470612 -0.02745416858315468 0.028502990446984768 -0.0 -0.026872877105544413 0.035852673333131385 -0.008979796227586975 -18.0 82.0 1.0 -0.006280357241630552 0.042951500415802 -8.167960762977598e-05 -6.7399300634861e-05 -0.021092131733894348 -0.014381110668182373 
1030 15.150849342346191 -0.009779125452041626 -0.003834955394268036 0.008053392171859741 -0.014415458823442457 0.04288314237631857 -0.0 -0.04043061436384408 0.03198548002376722 0.008445134340076852 -18.0 84.0 0.0 0.0025400573015213037 0.042951500415802 -8.167960762977598e-05 -6.835803948342801e-05 -0.016873836517333984 0.0 
1031 15.155821323394775 -0.0090121328830719 -0.0036432072520256042 0.008820384740829468 -0.005595044280290602 0.026353541713207956 -0.0 -0.02484635740492252 0.01699151322745776 0.007854844177464754 -19.0 86.0 -1.0 0.011360471844673158 0.040803921222686765 -8.167960762977598e-05 -6.92688412964344e-05 -0.016873836517333984 -0.014381110668182373 
1032 15.16086459159851 -0.008436888456344604 -0.003259710967540741 0.009395629167556763 0.005238725756406786 0.007676457731053228 -0.0 -0.007237433756159513 -0.0006586847904443981 0.00789611854660391 -19.0 87.0 -1.0 0.01797578275203705 0.03650876283645629 -8.167960762977598e-05 -7.00837690383196e-05 -0.012655377388000488 -0.028762221336364746 
1033 15.165827751159668 -0.008053399622440338 -0.0028762146830558777 0.01016262173652649 0.013867470388412477 0.003381299344822763 -0.0 -0.003187919594594408 -0.009728782360958066 0.012916701955552475 -19.0 88.0 -1.0 0.022385904341936113 0.03221360445022583 -8.167960762977598e-05 -7.00837690383196e-05 -0.00843675434589386 -0.028762221336364746 
1034 15.170901536941528 -0.008053399622440338 -0.0028762146830558777 0.01016262173652649 0.022304224734306335 0.03214352068118751 -0.0 -0.030305201926503628 -0.003058722272552925 0.03336392419905655 -19.0 88.0 -1.0 0.022385904341936113 0.03221360445022583 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1035 15.175839185714722 -0.007669903337955475 -0.002109229564666748 0.01112135499715805 0.01827751374721527 -0.03397059652395547 -0.0 0.03202778555072142 -0.030937420257821483 -0.0010903652928999366 -19.0 90.0 -1.0 0.02679611161351204 0.023623371124267576 -8.167960762977598e-05 -7.00837690383196e-05 -0.008436918258666992 -0.05752388387918472 
1036 15.180878400802612 -0.007669903337955475 -0.002109229564666748 0.01112135499715805 0.026714432005882263 0.023553287355229255 -0.0 -0.022206252277490623 -0.010709116255483767 0.03291536853297439 -19.0 90.0 -1.0 0.02679611161351204 0.023623371124267576 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1037 15.185956001281738 -0.007861651480197906 -0.0017257332801818848 0.011888347566127777 0.028727787499427795 -0.009504092367365958 -0.0 0.0089605442159837 -0.02793641237889291 0.01897586816290921 -19.0 91.0 0.0 0.024591007977724077 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.004218459129333496 -0.028762221336364746 
1038 15.190876483917236 -0.008053399622440338 -0.0017257332801818848 0.01227184385061264 0.02652268386363983 0.019258128968998787 -0.0 -0.018156738115925514 -0.012577311633726131 0.030734049749651646 -19.0 91.0 1.0 0.022385904341936113 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.004218459129333496 0.0 
1039 15.195861339569092 -0.008053399622440338 -0.0017257332801818848 0.01227184385061264 0.022304224734306335 0.019258128968998787 -0.0 -0.018156738115925514 -0.009132954177841981 0.027289692293767494 -19.0 91.0 1.0 0.022385904341936113 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1040 15.200824499130249 -0.008245140314102173 -0.0017257332801818848 0.012655340135097504 0.0243175019967556 0.019258128968998787 -0.0 -0.018156738115925514 -0.010776788179091336 0.02893352629501685 -19.0 91.0 3.0 0.020180886387825014 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.004218295216560364 0.0 
1041 15.205835342407227 -0.008245140314102173 -0.0017257332801818848 0.012655340135097504 0.020099206780195236 0.019258128968998787 -0.0 -0.018156738115925514 -0.007332564557426022 0.025489302673351533 -19.0 90.0 5.0 0.020180886387825014 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1042 15.210822105407715 -0.008053399622440338 -0.0017257332801818848 0.012655340135097504 0.01808592951774597 0.019258128968998787 -0.0 -0.018156738115925514 -0.005688730556176663 0.023845468672102174 -19.0 90.0 6.0 0.022385904341936113 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 -0.004218295216560364 0.0 
1043 15.215993165969849 -0.008053399622440338 -0.0017257332801818848 0.012655340135097504 0.022304224734306335 0.019258128968998787 -0.0 -0.018156738115925514 -0.009132954177841981 0.027289692293767494 -19.0 90.0 6.0 0.022385904341936113 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1044 15.22083044052124 -0.008053399622440338 -0.0017257332801818848 0.012655340135097504 0.022304224734306335 0.019258128968998787 -0.0 -0.018156738115925514 -0.009132954177841981 0.027289692293767494 -19.0 90.0 7.0 0.022385904341936113 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1045 15.225854635238647 -0.008245140314102173 -0.0017257332801818848 0.012655340135097504 0.0243175019967556 0.019258128968998787 -0.0 -0.018156738115925514 -0.010776788179091336 0.02893352629501685 -19.0 89.0 10.0 0.020180886387825014 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.004218295216560364 0.0 
1046 15.230824708938599 -0.008436888456344604 -0.0017257332801818848 0.012463591992855072 0.02211256227374077 0.019258128968998787 -0.0 -0.018156738115925514 -0.008976462434097998 0.027133200550023513 -19.0 88.0 12.0 0.01797578275203705 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.004218459129333496 0.0 
1047 15.236116886138916 -0.008436888456344604 -0.0017257332801818848 0.012463591992855072 0.017894103144407272 0.019258128968998787 -0.0 -0.018156738115925514 -0.00553210497821385 0.023688843094139364 -19.0 88.0 12.0 0.01797578275203705 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1048 15.240840435028076 -0.0090121328830719 -0.0015339851379394531 0.012080095708370209 0.02393416962504387 0.0027294391077011797 -0.0 -0.002573339869188351 -0.018255497731598375 0.020828837600786725 -19.0 86.0 15.0 0.011360471844673158 0.017180633544921872 -8.167960762977598e-05 -7.00837690383196e-05 0.012655377388000488 -0.014381110668182373 
1049 15.245829582214355 -0.009203881025314331 -0.0017257332801818848 0.011888347566127777 0.013292147730588915 0.03363923963718116 -0.0 -0.031715379281880125 0.0050046964657279825 0.026710682816152145 -19.0 84.0 16.0 0.009155368208885194 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.004218459129333496 0.014381110668182373 
1050 15.250839710235596 -0.009587377309799194 -0.0017257332801818848 0.011504851281642914 0.013100399588346483 0.019258128968998787 -0.0 -0.018156738115925514 -0.0016180624147091342 0.01977480053063465 -19.0 83.0 18.0 0.0047451609373092675 0.019328212738037108 -8.167960762977598e-05 -7.00837690383196e-05 0.008436918258666992 0.0 
1051 15.25582766532898 -0.009779125452041626 -0.0019174814224243164 0.011313103139400482 0.006676836823225024 0.0357868188302964 -0.0 -0.03374013636266268 0.011418453743755769 0.02232168261890691 -19.0 82.0 19.0 0.0025400573015213037 0.021475791931152344 -8.167960762977598e-05 -7.00837690383196e-05 0.004218459129333496 0.014381110668182373 
1052 15.260857343673706 -0.009779125452041626 -0.0019174814224243164 0.011313103139400482 0.002458377693891528 0.021405708162114023 -0.0 -0.02018149519670807 0.008083490616662616 0.012098004580045453 -19.0 82.0 19.0 0.0025400573015213037 0.021475791931152344 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1053 15.265876293182373 -0.009779125452041626 -0.0019174814224243164 0.011313103139400482 0.002458377693891528 0.021405708162114023 -0.0 -0.02018149519670807 0.008083490616662616 0.012098004580045453 -19.0 81.0 21.0 0.0025400573015213037 0.021475791931152344 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1054 15.27083158493042 -0.010929606854915619 -0.0024927258491516113 0.010546118021011353 0.014538432424068453 0.07099177774600685 -0.0 -0.06693168993691956 0.021595264602159096 0.04533642533476046 -19.0 80.0 25.0 -0.010690478831529616 0.027918529510498044 -8.167960762977598e-05 -7.00837690383196e-05 0.025310590863227844 0.04314333200454712 
1055 15.275849103927612 -0.011313103139400482 -0.002684466540813446 0.01016262173652649 -0.006745447452068327 0.04437649336270988 -0.0 -0.041838559176069295 0.026426914369476077 0.015411644806593214 -19.0 80.0 26.0 -0.015100686103105544 0.030066025257110593 -8.167960762977598e-05 -7.00837690383196e-05 0.008436918258666992 0.014380551874637604 
1056 15.280889749526978 -0.011313103139400482 -0.002684466540813446 0.009970873594284058 -0.01518236571073532 0.029995941488072272 -0.0 -0.028280444845721068 0.026536572116070266 0.001743872729650803 -19.0 80.0 28.0 -0.015100686103105544 0.030066025257110593 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1057 15.28583025932312 -0.011313103139400482 -0.0028762146830558777 0.009970873594284058 -0.01518236571073532 0.046524631349369884 -0.0 -0.043863843092458235 0.03432827123943885 0.009535571853019387 -19.0 80.0 30.0 -0.015100686103105544 0.03221360445022583 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.014381110668182373 
1058 15.291083097457886 -0.01112135499715805 -0.0028762146830558777 0.009970873594284058 -0.017195721204280853 0.03214352068118751 -0.0 -0.030305201926503628 0.02919284853313353 0.0011123533933700995 -19.0 81.0 31.0 -0.01289558246731758 0.03221360445022583 -8.167960762977598e-05 -7.00837690383196e-05 -0.004218459129333496 0.0 
1059 15.29583191871643 -0.01112135499715805 -0.002684466540813446 0.009779125452041626 -0.012977262074947355 0.0156148308198899 -0.0 -0.01472180367976646 0.017956791953880794 -0.0032349882741143318 -19.0 81.0 33.0 -0.01289558246731758 0.030066025257110593 -8.167960762977598e-05 -7.00837690383196e-05 0.0 -0.014381110668182373 
1060 15.300845384597778 -0.01112135499715805 -0.002684466540813446 0.009779125452041626 -0.012977262074947355 0.029995941488072272 -0.0 -0.028280444845721068 0.024736112536858094 0.003544332308862971 -19.0 82.0 34.0 -0.01289558246731758 0.030066025257110593 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1061 15.305846691131592 -0.011504851281642914 -0.0019174814224243164 0.009970873594284058 -0.008950551087856291 -0.0361181757170707 -0.0 0.03405254263150397 -0.009718176955098388 -0.024334365676405584 -19.0 83.0 35.0 -0.017305789738893507 0.021475791931152344 -8.167960762977598e-05 -7.00837690383196e-05 0.008436918258666992 -0.05752388387918472 
1062 15.310849905014038 -0.011504851281642914 -0.0019174814224243164 0.009970873594284058 -0.017387469346523285 0.021405708162114023 -0.0 -0.02018149519670807 0.02428755687077594 -0.004106061674067867 -19.0 83.0 35.0 -0.017305789738893507 0.021475791931152344 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1063 15.315827369689941 -0.01227184385061264 -0.0011504888534545898 0.010546118021011353 -0.009334047372341154 -0.0447090512830764 -0.0 0.042152097790240574 -0.013454831129386311 -0.028697266660854266 -19.0 85.0 38.0 -0.026126204282045363 0.012885475158691406 -8.167960762977598e-05 -7.00837690383196e-05 0.016873836517333984 -0.05752444267272949 
1064 15.320846319198608 -0.012655340135097504 -0.0007669925689697266 0.010737858712673187 -0.022181172902584076 -0.02024198833294213 -0.0 0.01908432961989648 0.008568687025978381 -0.02765301664587486 -19.0 85.0 38.0 -0.03053641155362129 0.008590316772460936 -8.167960762977598e-05 -7.00837690383196e-05 0.008436918258666992 -0.028762221336364746 
1065 15.325894355773926 -0.012655340135097504 -0.0007669925689697266 0.010737858712673187 -0.030618091161251068 0.008520233003422617 -0.0 -0.008032952712012742 0.029016043103701292 -0.020983090391688546 -19.0 85.0 38.0 -0.03053641155362129 0.008590316772460936 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1066 15.330826044082642 -0.012847088277339935 -0.00019174814224243164 0.011504851281642914 -0.028604735667705532 -0.0410658365804702 -0.0 0.03871724202819875 0.0039970478569235635 -0.042714289885122304 -19.0 85.0 39.0 -0.03274151518940925 0.002147579193115234 -8.167960762977598e-05 -7.00837690383196e-05 0.004218459129333496 -0.04314333200454712 
1067 15.335872888565063 -0.012847088277339935 -0.00019174814224243164 0.011504851281642914 -0.032823194797039025 0.0020774954240769146 -0.0 -0.001958681469665078 0.02777936706173962 -0.025820685592074545 -19.0 85.0 39.0 -0.03274151518940925 0.002147579193115234 -8.167960762977598e-05 -7.00837690383196e-05 0.0 0.0 
1068 15.340826511383057 -0.013038836419582367 -0.0003834962844848633 0.012463591992855072 -0.03081059901259839 0.01860618528537452 -0.0 -0.017542079716402238 0.03392778860832287 -0.016385708891920633 -18.0 85.0 39.0 -0.034946618825197215 0.004295158386230468 -8.243931673467157e-05 -7.00837690383196e-05 0.004218459129333496 0.014381110668182373 
1069 15.34584355354309 -0.013038836419582367 -0.0005752444267272949 0.012847088277339935 -0.03502981785103678 0.020753764478489756 -0.0 -0.019566836797184795 0.03838514490448494 -0.018818308107300154 -18.0 84.0 39.0 -0.034946618825197215 0.006442737579345703 -8.319902583956715e-05 -7.00837690383196e-05 0.0 0.014381110668182373 
1070 15.350855827331543 -0.013038836419582367 -0.0005752444267272949 0.012847088277339935 -0.035030577560141676 0.0063726538103073835 -0.0 -0.006008195631230188 0.03160644462139429 -0.0255982489901641 -18.0 84.0 39.0 -0.034946618825197215 0.006442737579345703 -8.395873494446274e-05 -7.00837690383196e-05 0.0 0.0 
1071 15.355848550796509 -0.013614073395729065 -0.0009587407112121582 0.013805821537971497 -0.02899149282895028 0.0394300335329026 -0.0 -0.037174992124704515 0.04225895083318085 -0.005083958708476331 -18.0 84.0 39.0 -0.04156184405088424 0.010737895965576172 -8.486225329339501e-05 -7.00837690383196e-05 0.012655213475227356 0.028762221336364746 
1072 15.360842943191528 -0.013805821537971497 -0.0011504888534545898 0.013997569680213928 -0.0396343022660166 0.02719650205783546 -0.0 -0.02564110803953246 0.0451818263074248 -0.019540718267892346 -18.0 84.0 39.0 -0.043766947686672206 0.012885475158691406 -8.581370867788788e-05 -7.00837690383196e-05 0.004218459129333496 0.014381110668182373 
1073 15.365874528884888 -0.013805821537971497 -0.0011504888534545898 0.013997569680213928 -0.04385371285073458 0.012815391389653086 -0.0 -0.012082466873577852 0.04184764004039999 -0.029765173166822135 -18.0 84.0 39.0 -0.043766947686672206 0.012885475158691406 -8.676516406238075e-05 -7.00837690383196e-05 0.0 0.0 
1074 15.370851039886475 -0.013805821537971497 -0.0011504888534545898 0.014381065964698792 -0.043854664306119076 0.012815391389653086 -0.0 -0.012082466873577852 0.041848416900468324 -0.029765950026890482 -18.0 84.0 39.0 -0.043766947686672206 0.012885475158691406 -8.771661944687361e-05 -7.00837690383196e-05 0.0 0.0 
1075 15.375839471817017 -0.013805821537971497 -0.0007669925689697266 0.014764562249183655 -0.04385561576150357 -0.02024198833294213 -0.0 0.01908432961989648 0.026265795513799504 -0.04535012513369599 -18.0 85.0 38.0 -0.043766947686672206 0.008590316772460936 -8.86680748313665e-05 -7.00837690383196e-05 0.0 -0.028762221336364746 
1076 15.380845546722412 -0.013805821537971497 -0.0007669925689697266 0.014764562249183655 -0.04385656721688806 0.008520233003422617 -0.0 -0.008032952712012742 0.03982521353982246 -0.031792260827809726 -18.0 85.0 38.0 -0.043766947686672206 0.008590316772460936 -8.961953021585936e-05 -7.00837690383196e-05 0.0 0.0 
1077 15.385866165161133 -0.013805821537971497 -0.0007669925689697266 0.014764562249183655 -0.043857518672272555 0.008520233003422617 -0.0 -0.008032952712012742 0.03982599039989081 -0.03179303768787807 -18.0 85.0 38.0 -0.043766947686672206 0.008590316772460936 -9.057098560035225e-05 -7.00837690383196e-05 0.0 0.0 
1078 15.390893459320068 -0.013805821537971497 -0.0003834962844848633 0.014956310391426086 -0.04385847012765705 -0.0245371467191726 -0.0 0.023133843781461584 0.024243369013221987 -0.04737721279468358 -18.0 85.0 37.0 -0.043766947686672206 0.004295158386230468 -9.152244098484511e-05 -7.00837690383196e-05 0.0 -0.028762221336364746 
1079 15.395846605300903 -0.013805821537971497 -0.0003834962844848633 0.014956310391426086 -0.04385942158304154 0.004225074617192149 -0.0 -0.0039834385504476325 0.037802787039244945 -0.03381934848879731 -18.0 85.0 37.0 -0.043766947686672206 0.004295158386230468 -9.247389636933797e-05 -7.00837690383196e-05 0.0 0.0 
1080 15.400870084762573 -0.013997569680213928 -0.0003834962844848633 0.014956310391426086 -0.041847065481916065 0.004225074617192149 -0.0 -0.0039834385504476325 0.03615970516306695 -0.03217626661261931 -18.0 85.0 35.0 -0.04597205132246017 0.004295158386230468 -9.347328878939145e-05 -7.00837690383196e-05 0.004218459129333496 0.0 
1081 15.405845880508423 -0.01418931782245636 -0.0005752444267272949 0.014956310391426086 -0.04405321644715964 0.020753764478489756 -0.0 -0.019566836797184795 0.045752719006567306 -0.026185882209382512 -18.0 85.0 33.0 -0.04817715495824813 0.006442737579345703 -9.452061824500556e-05 -7.00837690383196e-05 0.004218459129333496 0.014381110668182373 
1082 15.410885572433472 -0.01418931782245636 -0.0005752444267272949 0.014764562249183655 -0.04827272290594875 0.0063726538103073835 -0.0 -0.006008195631230188 0.042418611020393765 -0.03641041538916358 -18.0 85.0 31.0 -0.04817715495824813 0.006442737579345703 -9.556794770061964e-05 -7.00837690383196e-05 0.0 0.0 
1083 15.416097402572632 -0.01418931782245636 -0.0005752444267272949 0.014764562249183655 -0.04827377023540437 0.0063726538103073835 -0.0 -0.006008195631230188 0.04241946616131338 -0.036411270530083195 -18.0 85.0 31.0 -0.04817715495824813 0.006442737579345703 -9.661527715623372e-05 -7.00837690383196e-05 0.0 0.0 
1084 15.420873641967773 -0.013997569680213928 -0.0007669925689697266 0.014572814106941223 -0.05028812512136995 0.022901343671604988 -0.0 -0.021591593877967347 0.05185587916184792 -0.030264285283880574 -18.0 85.0 30.0 -0.04597205132246017 0.008590316772460936 -9.761466957628721e-05 -7.00837690383196e-05 -0.004218459129333496 0.014381110668182373 
1085 15.425853967666626 -0.013997569680213928 -0.0007669925689697266 0.014381065964698792 -0.04607066538445651 0.008520233003422617 -0.0 -0.008032952712012742 0.04163301712348044 -0.033600064411467706 -18.0 85.0 28.0 -0.04597205132246017 0.008590316772460936 -9.86140619963407e-05 -7.00837690383196e-05 0.0 0.0 
1086 15.430846691131592 -0.013997569680213928 -0.0007669925689697266 0.014381065964698792 -0.04607166477687656 0.008520233003422617 -0.0 -0.008032952712012742 0.041633833123974416 -0.03360088041196168 -18.0 85.0 28.0 -0.04597205132246017 0.008590316772460936 -9.961345441639416e-05 -7.00837690383196e-05 0.0 0.0 
1087 15.435842514038086 -0.01418931782245636 -0.0007669925689697266 0.01418931782245636 -0.04405935661278665 0.008520233003422617 -0.0 -0.008032952712012742 0.03999079038822205 -0.031957837676209314 -18.0 85.0 26.0 -0.04817715495824813 0.008590316772460936 -0.00010066078387200827 -7.00837690383196e-05 0.004218459129333496 0.0 
1088 15.440883874893188 -0.01418931782245636 -0.0007669925689697266 0.01418931782245636 -0.04827886307157576 0.008520233003422617 -0.0 -0.008032952712012742 0.04343600298502582 -0.035403050273013076 -18.0 85.0 26.0 -0.04817715495824813 0.008590316772460936 -0.00010170811332762235 -7.00837690383196e-05 0.0 0.0 
1089 15.445868492126465 -0.01418931782245636 -0.0007669925689697266 0.01418931782245636 -0.04827991040103137 0.008520233003422617 -0.0 -0.008032952712012742 0.04343685812594543 -0.03540390541393269 -18.0 85.0 25.0 -0.04817715495824813 0.008590316772460936 -0.00010275544278323643 -7.00837690383196e-05 0.0 0.0 
1090 15.450843572616577 -0.014381065964698792 -0.0007669925689697266 0.013805821537971497 -0.046267650173977014 0.008520233003422617 -0.0 -0.008032952712012742 0.04179385453061871 -0.033760901818605964 -18.0 85.0 22.0 -0.0503822585940361 0.008590316772460936 -0.00010385070927441114 -7.00837690383196e-05 0.004218459129333496 0.0 
1091 15.455836772918701 -0.014572814106941223 -0.0007669925689697266 0.013614073395729065 -0.04847389701329171 0.008520233003422617 -0.0 -0.008032952712012742 0.04359524753160175 -0.035562294819589016 -18.0 85.0 21.0 -0.05258736222982406 0.008590316772460936 -0.00010499391280114644 -7.00837690383196e-05 0.004218459129333496 0.0 
1092 15.460848093032837 -0.014572814106941223 -0.0007669925689697266 0.013614073395729065 -0.052693499346151945 0.008520233003422617 -0.0 -0.008032952712012742 0.04704053840925679 -0.03900758569724405 -18.0 85.0 19.0 -0.05258736222982406 0.008590316772460936 -0.00010613711632788174 -7.00837690383196e-05 0.0 0.0 
1093 15.465882301330566 -0.014572814106941223 -0.0007669925689697266 0.013614073395729065 -0.05269464254967868 0.008520233003422617 -0.0 -0.008032952712012742 0.04704147183102767 -0.03900851911901493 -18.0 85.0 19.0 -0.05258736222982406 0.008590316772460936 -0.00010728031985461704 -7.00837690383196e-05 0.0 0.0 
1094 15.470865488052368 -0.013997569680213928 -0.0011504888534545898 0.013422325253486633 -0.05873570842273533 0.041577612726017836 -0.0 -0.03919974920548707 0.06755737970827477 -0.028357630502787695 -18.0 85.0 19.0 -0.04597205132246017 0.012885475158691406 -0.00010827971227467052 -7.00837690383196e-05 -0.012655377388000488 0.028762221336364746 
1095 15.476030826568604 -0.013805821537971497 -0.0013422369956970215 0.013230584561824799 -0.04809463798366487 0.029344081250950692 -0.0 -0.027665865120315013 0.0531020400347766 -0.025436174914461596 -18.0 85.0 18.0 -0.043766947686672206 0.01503305435180664 -0.00010923116765916339 -7.00837690383196e-05 -0.004218459129333496 0.014381110668182373 
