i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.000854253768921 -0.0 0.0 0 0 0 0.0 0.0 0.0 -5729.0 8276.0 1590.0 0 0 
2 10.005802631378174 -0.0 0.0 0 0 0 0.0 0.0 0.0 -5729.0 8276.0 1590.0 0 0 
3 10.01099443435669 -0.0 0.0 0 0 0 0.0 0.0 0.0 -5696.0 8309.0 1780.0 0 0 
4 10.01621389389038 -0.0 0.0 0 0 0 0.0 0.0 0.0 -5696.0 8309.0 1780.0 0 0 
5 10.020704507827759 -0.0 0.0 0 0 0 0.0 0.0 0.0 -5696.0 8309.0 1780.0 0 0 
6 10.025742053985596 -0.0 0.0 0 0 0 0.0 0.0 0.0 -5696.0 8309.0 1780.0 0 0 
7 10.030714988708496 -0.0 0.0 0 0 0 0.0 0.0 0.0 -5696.0 8310.0 1780.0 0 0 
8 10.035783767700195 -0.0 0.0 0 0 0 0.0 0.0 0.0 -5696.0 8310.0 1780.0 0 0 
9 10.040851354598999 -0.0 0.0 0 0 0 0.0 0.0 0.0 -5695.0 8310.0 1780.0 0 0 
10 10.045930624008179 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8310.0 1781.0 0 0 
11 10.051038026809692 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
12 10.055767059326172 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
13 10.060853719711304 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
14 10.066155910491943 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
15 10.070762872695923 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
16 10.075842142105103 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
17 10.08082389831543 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
18 10.085728406906128 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
19 10.090939998626709 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
20 10.095676183700562 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
21 10.100640058517456 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
22 10.105653762817383 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
23 10.110631227493286 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
24 10.115635633468628 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
25 10.120645999908447 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
26 10.12563943862915 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
27 10.130658626556396 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
28 10.135733366012573 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
29 10.140639066696167 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
30 10.145673036575317 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
31 10.150635957717896 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
32 10.15564775466919 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
33 10.160651683807373 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
34 10.16565227508545 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
35 10.170675039291382 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
36 10.175638914108276 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
37 10.18063473701477 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
38 10.185688257217407 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
39 10.19064736366272 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
40 10.19576382637024 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
41 10.200634479522705 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
42 10.205683708190918 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
43 10.210638523101807 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
44 10.215678691864014 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
45 10.220686912536621 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
46 10.225637912750244 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
47 10.230672359466553 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
48 10.235669374465942 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
49 10.240692853927612 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
50 10.245636463165283 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
51 10.250639200210571 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
52 10.255640029907227 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
53 10.260641098022461 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
54 10.265640497207642 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
55 10.270671844482422 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
56 10.275675058364868 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
57 10.280673742294312 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
58 10.285638570785522 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
59 10.290682315826416 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
60 10.295681715011597 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
61 10.300675630569458 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
62 10.305641651153564 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
63 10.310657739639282 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
64 10.315641403198242 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 -5695.0 8311.0 1781.0 0 0 
