i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.005733489990234 -0.0 0.0 0.09184709936380386 0 0 0 0.0 0.0 0.0 1.0 1.0 0.0 0 0 
2 10.010716199874878 -0.0 0.0 0.09184709936380386 0 0 0 0.0 0.0 0.0 1.0 1.0 0.0 0 0 
3 10.015758514404297 -0.0 0.0 0.09184709936380386 0 0 0 0.0 0.0 0.0 1.0 1.0 0.0 0 0 
4 10.020726442337036 -0.0 0.0 0.09184709936380386 0 0 0 0.0 0.0 0.0 1.0 1.0 0.0 0 0 
5 10.025862455368042 -0.0 0.0 0.09184709936380386 0 0 0 0.0 0.0 0.0 1.0 2.0 0.0 0 0 
6 10.030763626098633 -0.0 0.0 0.09184709936380386 0 0 0 0.0 0.0 0.0 1.0 2.0 0.0 0 0 
7 10.035715818405151 -0.0 0.0 0.09184709936380386 0 0 0 0.0 0.0 0.0 1.0 2.0 0.0 0 0 
8 10.041527271270752 -0.0 0.0 0.09242234216071665 0 0 0 0.0 0.0 0.0 1.0 3.0 0.0 0 0 
9 10.04571008682251 -0.0 0.0 0.09242234216071665 0 0 0 0.0 0.0 0.0 1.0 3.0 0.0 0 0 
10 10.05128026008606 -0.0 0.0 0.09242234216071665 0 0 0 0.0 0.0 0.0 2.0 4.0 1.0 0 0 
11 10.055704355239868 -0.0 0.00019174814224243164 0.09261408977909014 0 0 0 0.0 0.0 0.0 2.0 4.0 1.0 0 0 
12 10.061175346374512 -0.0 0.00019174814224243164 0.09280583739746362 0 0 0 0.0 0.0 0.0 2.0 5.0 1.0 0 0 
13 10.065675258636475 -0.0 0.00019174814224243164 0.09280583739746362 0 0 0 0.0 0.0 0.0 2.0 5.0 1.0 0 0 
14 10.070673942565918 -0.0 0.00019174814224243164 0.09280583739746362 0 0 0 0.0 0.0 0.0 2.0 5.0 1.0 0 0 
15 10.075685739517212 -0.0 0.00019174814224243164 0.09280583739746362 0 0 0 0.0 0.0 0.0 2.0 5.0 1.0 0 0 
16 10.080689907073975 -0.0 0.00019174814224243164 0.09280583739746362 0 0 0 0.0 0.0 0.0 2.0 5.0 1.0 0 0 
17 10.085731983184814 -0.0 0.00019174814224243164 0.09280583739746362 0 0 0 0.0 0.0 0.0 2.0 5.0 1.0 0 0 
18 10.090670108795166 -0.0 0.00019174814224243164 0.09280583739746362 0 0 0 0.0 0.0 0.0 2.0 5.0 1.0 0 0 
19 10.095726728439331 -0.0 0.00019174814224243164 0.09280583739746362 0 0 0 0.0 0.0 0.0 2.0 5.0 1.0 0 0 
20 10.100692987442017 -0.0 0.00019174814224243164 0.09280583739746362 0 0 0 0.0 0.0 0.0 2.0 5.0 1.0 0 0 
