i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 
1 10.015774965286255 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
2 10.020754337310791 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
3 10.025787830352783 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
4 10.030765056610107 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
5 10.03592038154602 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 1.0 0.0 -1.0 
6 10.040761470794678 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 1.0 1.0 -1.0 
7 10.04600191116333 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 1.0 1.0 -1.0 
8 10.050756216049194 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 1.0 1.0 -1.0 
9 10.055812358856201 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
10 10.060755252838135 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
11 10.066254615783691 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
12 10.070767164230347 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
13 10.075838088989258 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
14 10.080854415893555 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
15 10.08582854270935 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
16 10.090767860412598 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
17 10.095785856246948 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
18 10.100743770599365 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
19 10.105980634689331 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
20 10.110774993896484 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
21 10.115779876708984 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 1.0 -1.0 
