i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.015708684921265 -0.0 0.0 0.09549030661582947 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 
2 10.020734310150146 -0.0 0.0 0.09549030661582947 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 
3 10.02576470375061 -0.0 0.0 0.09549030661582947 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 
4 10.030711889266968 -0.0 0.0 0.09549030661582947 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 
5 10.03581976890564 -0.0 0.0 0.09549030661582947 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 
6 10.04072380065918 -0.0 0.0 0.09549030661582947 0 0 0 0.0 0.0 0.0 1.0 0.0 0.0 0 0 
7 10.045773983001709 -0.00019174814224243164 0.0 0.0958738018234726 0 0 0 0.0 0.0 0.0 1.0 0.0 0.0 0 0 
8 10.05069375038147 -0.00019174814224243164 0.0 0.09606554941274226 0 0 0 0.0 0.0 0.0 1.0 0.0 0.0 0 0 
9 10.055750370025635 -0.00019174814224243164 0.0 0.09606554941274226 0 0 0 0.0 0.0 0.0 1.0 0.0 0.0 0 0 
10 10.060750484466553 -0.00019174814224243164 0.0 0.09625729703111574 0 0 0 0.0 0.0 0.0 1.0 0.0 0.0 0 0 
11 10.065693140029907 -0.00019174814224243164 0.0 0.09644904464948922 0 0 0 0.0 0.0 0.0 1.0 0.0 0.0 0 0 
12 10.070748805999756 -0.00019174814224243164 0.0 0.09644904464948922 0 0 0 0.0 0.0 0.0 1.0 1.0 0.0 0 0 
13 10.07569694519043 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
14 10.08075499534607 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
15 10.085711240768433 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
16 10.090699195861816 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
17 10.095671892166138 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
18 10.100724220275879 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
19 10.105676174163818 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
20 10.110825300216675 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
21 10.115674495697021 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
22 10.120702981948853 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
23 10.125657558441162 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
24 10.130821466445923 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
25 10.135669469833374 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
26 10.14070200920105 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
27 10.145759105682373 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
28 10.150672674179077 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
29 10.155663251876831 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
30 10.16067910194397 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
31 10.16582202911377 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
32 10.170681953430176 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
33 10.175705909729004 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
34 10.18077039718628 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
35 10.185848712921143 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
36 10.190701723098755 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
37 10.195696115493774 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
38 10.200682640075684 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
39 10.205678939819336 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
40 10.210673809051514 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
41 10.215763330459595 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
42 10.220676898956299 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
43 10.225733280181885 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
44 10.230688095092773 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
45 10.235726594924927 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
46 10.240694046020508 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
47 10.24573540687561 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
48 10.250679731369019 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
49 10.255725860595703 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
50 10.260704040527344 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
51 10.265684127807617 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
52 10.270676374435425 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
53 10.275697946548462 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
54 10.280728101730347 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
55 10.285675525665283 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
56 10.290687799453735 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
57 10.295766830444336 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
58 10.300673246383667 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
59 10.305765867233276 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
60 10.310772895812988 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
61 10.315682172775269 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
62 10.320817947387695 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
63 10.325673341751099 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
64 10.330670356750488 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
65 10.335674285888672 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
66 10.3407461643219 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
67 10.345683813095093 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
68 10.350704669952393 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
69 10.355700254440308 -0.00019174814224243164 0.0 0.09664079220965505 0 0 0 0.0 0.0 0.0 2.0 1.0 0.0 0 0 
