i t_now roll pitch yaw dyaw psi_1 psi_2 psi_3 dpsi1 dpsi2 dpsi3 Tz 
1 10.035796403884888 -0.0 0.0 0.10910438746213913 21.820877492427826 -2.0 3.0 0.0 0.0 0.0 0.0 0.25 
2 10.040792226791382 -0.0 0.0 0.10910438746213913 0.0 -2.0 3.0 0.0 0.0 0.0 0.0 0.25 
3 10.045825004577637 -0.0 0.0 0.10910438746213913 0.0 -2.0 3.0 0.0 1.0 0.0 0.0 0.25 
4 10.050752401351929 -0.0 0.0 0.10910438746213913 0.0 -1.0 3.0 0.0 0.0 0.0 0.0 0.25 
5 10.05590009689331 -0.0 0.0 0.10910438746213913 0.0 -1.0 3.0 0.0 0.0 0.0 1.0 0.25 
6 10.060936689376831 -0.0 0.0 0.10910438746213913 0.0 -1.0 3.0 1.0 2.0 1.0 1.0 0.25 
7 10.065786838531494 -0.0 0.00019174814224243164 0.10929613467305899 0.038349442183971405 1.0 4.0 2.0 1.0 1.0 2.0 0.25 
8 10.070784330368042 -0.0 0.00019174814224243164 0.10948788234964013 0.03834953531622887 2.0 5.0 4.0 1.0 2.0 1.0 0.25 
9 10.075709581375122 -0.00019174814224243164 0.0003834962844848633 0.11006312537938356 0.1150486059486866 3.0 7.0 5.0 1.0 1.0 2.0 0.25 
10 10.080745220184326 -0.00019174814224243164 0.0003834962844848633 0.11044662073254585 0.07669907063245773 4.0 8.0 7.0 1.0 2.0 2.0 0.25 
11 10.085772514343262 -0.00019174814224243164 0.0003834962844848633 0.111021863296628 0.11504851281642914 5.0 10.0 9.0 2.0 2.0 3.0 0.25 
12 10.090738773345947 -0.00019174814224243164 0.0003834962844848633 0.11178885400295258 0.15339814126491547 7.0 12.0 12.0 2.0 3.0 3.0 0.25 
13 10.09575867652893 -0.00019174814224243164 0.0005752444267272949 0.11236409656703472 0.11504851281642914 9.0 15.0 15.0 2.0 3.0 2.0 0.25 
14 10.100706100463867 -0.0003834962844848633 0.0005752444267272949 0.1131310872733593 0.15339814126491547 11.0 18.0 17.0 2.0 3.0 4.0 0.25 
15 10.10575246810913 -0.0003834962844848633 0.0007669925689697266 0.11408982519060373 0.19174758344888687 13.0 21.0 21.0 2.0 2.0 3.0 0.25 
16 10.110752582550049 -0.0005752444267272949 0.0005752444267272949 0.11543205846101046 0.2684466540813446 15.0 23.0 24.0 2.0 3.0 3.0 0.25 
17 10.115789413452148 -0.0005752444267272949 0.0005752444267272949 0.11543205846101046 0.0 15.0 23.0 24.0 2.0 3.0 3.0 0.25 
18 10.120720386505127 -0.0005752444267272949 0.0009587407112121582 0.11945875734090805 0.8053397759795189 20.0 29.0 30.0 2.0 2.0 3.0 0.25 
19 10.125780582427979 -0.0007669925689697266 0.0013422369956970215 0.12156798131763935 0.42184479534626007 22.0 31.0 33.0 3.0 3.0 3.0 0.25 
20 10.131017923355103 -0.0009587332606315613 0.0019174739718437195 0.12386895343661308 0.4601944237947464 25.0 34.0 36.0 3.0 3.0 4.0 0.25 
21 10.135719537734985 -0.001150481402873993 0.002109222114086151 0.12616992369294167 0.46019405126571655 28.0 37.0 40.0 3.0 2.0 3.0 0.25 
22 10.140789031982422 -0.0013422295451164246 0.0024927183985710144 0.1284708958119154 0.4601944237947464 31.0 39.0 43.0 4.0 4.0 4.0 0.25 
23 10.145734071731567 -0.0013422295451164246 0.0024927183985710144 0.1284708958119154 0.0 31.0 39.0 43.0 4.0 4.0 4.0 0.25 
24 10.151653289794922 -0.0013422295451164246 0.0024927183985710144 0.1284708958119154 0.0 35.0 43.0 47.0 3.0 3.0 3.0 0.25 
