i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
1 10.00574541091919 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 0 0 0 0 0 0 0 
2 10.010709285736084 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 0 0 0 0 0 0 0 
3 10.01573371887207 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 0 0 0 0 0 0 0 
4 10.020697832107544 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 0 0 0 0 0 0 0 
5 10.025736570358276 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 0 0 0 0 0 0 0 
6 10.03070068359375 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 0 0 0 0 0 0 0 
7 10.035855293273926 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 0 0 0 0 0 0 0 
8 10.040695667266846 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 0 0 0 0 0 0 0 
9 10.04628324508667 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 0 0 0 0 0 0 0 
10 10.05091142654419 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 0 0 0 0 0 0 0 
11 10.055700778961182 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
12 10.060691356658936 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
13 10.065698385238647 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
14 10.070691108703613 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
