i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
1 9.995705366134644 -0.0 0.0 0.0945315706776455 0 0 0 0.0 0.0 0.0 1.0 0.0 -1.0 0 0 0 0 0 0 0 0 0 
2 10.000717401504517 -0.0 0.0 0.0945315706776455 0 0 0 0.0 0.0 0.0 1.0 0.0 -1.0 0 0 0 0 0 0 0 0 0 
3 10.00574254989624 -0.0 0.0 0.0945315706776455 0 0 0 0.0 0.0 0.0 1.0 0.0 -1.0 0 0 0 0 0 0 0 0 0 
4 10.010681629180908 -0.0 0.0 0.0945315706776455 0 0 0 0.0 0.0 0.0 1.0 0.0 -1.0 0 0 0 0 0 0 0 0 0 
5 10.015703678131104 -0.0 0.0 0.0945315706776455 0 0 0 0.0 0.0 0.0 1.0 0.0 -1.0 0 0 0 0 0 0 0 0 0 
6 10.020688533782959 -0.0 0.0 0.09472331823781133 0 0 0 0.0 0.0 0.0 1.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
7 10.025731325149536 -0.0 0.0 0.09491506591439247 0 0 0 0.0 0.0 0.0 1.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
8 10.030698299407959 -0.0 0.0 0.09491506591439247 0 0 0 0.0 0.0 0.0 1.0 0.0 1.0 0 0 0 0 0 0 0 0 0 
9 10.03574252128601 -0.0 0.00019174814224243164 0.0951068134745583 0 0 0 0.0 0.0 0.0 1.0 0.0 1.0 0 0 0 0 0 0 0 0 0 
10 10.040703296661377 -0.0 0.00019174814224243164 0.0951068134745583 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
11 10.04593276977539 -0.0 0.00019174814224243164 0.09529856103472412 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
12 10.050732851028442 -0.0 0.00019174814224243164 0.09529856103472412 0 0 0 0.0 0.0 0.0 1.0 1.0 1.0 0 0 0 0 0 0 0 0 0 
13 10.056174039840698 -0.0 0.00019174814224243164 0.09529856103472412 0 0 0 0.0 0.0 0.0 1.0 1.0 2.0 0 0 0 0 0 0 0 0 0 
14 10.060665130615234 -0.0 0.00019174814224243164 0.09549030871130526 0 0 0 0.0 0.0 0.0 1.0 1.0 2.0 0 0 0 0 0 0 0 0 0 
