i t_now roll pitch yaw dyaw psi_1 psi_2 psi_3 dpsi1 dpsi2 dpsi3 Tz 
1 10.010756254196167 -0.0 0.0 0.0 0.0 -2.0 -3.0 1.0 0.0 0.0 0.0 0.25 
2 10.015731573104858 -0.0 0.0 0.0 0.0 -2.0 -3.0 1.0 0.0 0.0 0.0 0.25 
3 10.020770788192749 -0.0 0.0 0.0 0.0 -2.0 -3.0 1.0 0.0 1.0 0.0 0.25 
4 10.025678634643555 -0.0 0.0 0.0 0.0 -2.0 -2.0 1.0 1.0 0.0 0.0 0.25 
5 10.030786037445068 -0.0 0.0 0.0 0.0 -1.0 -2.0 1.0 0.0 0.0 0.0 0.25 
6 10.035720586776733 -0.0 0.0 0.0 0.0 -1.0 -2.0 1.0 1.0 1.0 2.0 0.25 
7 10.04078221321106 -0.0 0.0 0.0 0.0 0.0 -1.0 3.0 1.0 1.0 1.0 0.25 
8 10.045672416687012 -0.0 0.0 0.0 0.0 1.0 0.0 4.0 2.0 1.0 1.0 0.25 
9 10.050793647766113 -0.0 0.0 0.0 0.0 1.0 0.0 4.0 2.0 1.0 1.0 0.25 
10 10.055659532546997 -0.0 0.0 0.0 0.0 4.0 1.0 6.0 1.0 2.0 2.0 0.25 
11 10.060771703720093 -0.0 0.0 0.0 0.0 5.0 3.0 8.0 2.0 1.0 2.0 0.25 
12 10.065663814544678 -0.0 0.0 0.0 0.0 7.0 4.0 10.0 2.0 1.0 3.0 0.25 
13 10.070786237716675 -0.0 0.0 0.0 0.0 9.0 5.0 13.0 2.0 2.0 2.0 0.25 
14 10.075666189193726 -0.0 0.0 0.0 0.0 13.0 9.0 18.0 2.0 2.0 3.0 0.25 
15 10.080753803253174 -0.0 0.0 0.0 0.0 15.0 11.0 21.0 2.0 3.0 3.0 0.25 
16 10.085726261138916 -0.0 0.0 0.0 0.0 17.0 14.0 24.0 3.0 2.0 3.0 0.25 
17 10.090760946273804 -0.0 0.0 0.0 0.0 20.0 16.0 27.0 2.0 2.0 3.0 0.25 
18 10.095671653747559 -0.0 0.0 0.0 0.0 22.0 18.0 30.0 3.0 3.0 3.0 0.25 
19 10.100777864456177 -0.0 0.0 0.0 0.0 25.0 21.0 33.0 3.0 3.0 3.0 0.25 
20 10.105697631835938 -0.0 0.0 0.0 0.0 25.0 21.0 33.0 3.0 3.0 3.0 0.25 
21 10.111267805099487 -0.0 0.0 0.0 0.0 31.0 26.0 39.0 3.0 4.0 4.0 0.25 
22 10.115648746490479 -0.0 0.0 0.0 0.0 34.0 30.0 43.0 3.0 3.0 3.0 0.25 
23 10.120894193649292 -0.0 0.0 0.0 0.0 37.0 33.0 46.0 3.0 3.0 3.0 0.25 
24 10.125643014907837 -0.0 0.0 0.0 0.0 43.0 39.0 52.0 3.0 4.0 4.0 0.25 
25 10.13072681427002 -0.0 0.0 0.0 0.0 43.0 39.0 52.0 3.0 4.0 4.0 0.25 
26 10.135637044906616 -0.0 0.0 0.0 0.0 46.0 43.0 56.0 4.0 3.0 4.0 0.25 
27 10.140712976455688 -0.0 0.0 0.0 0.0 50.0 46.0 60.0 3.0 3.0 4.0 0.25 
28 10.14563798904419 -0.0 0.0 0.0 0.0 57.0 53.0 67.0 3.0 3.0 4.0 0.25 
29 10.150658369064331 -0.0 0.0 0.0 0.0 60.0 56.0 71.0 4.0 4.0 4.0 0.25 
30 10.155665159225464 -0.0 0.0 0.0 0.0 60.0 56.0 71.0 4.0 4.0 4.0 0.25 
31 10.160657405853271 -0.0 0.0 0.0 0.0 68.0 64.0 79.0 3.0 3.0 3.0 0.25 
32 10.165647983551025 -0.0 0.0 0.0 0.0 71.0 67.0 82.0 4.0 4.0 4.0 0.25 
33 10.170635461807251 -0.0 0.0 0.0 0.0 75.0 71.0 86.0 4.0 4.0 4.0 0.25 
34 10.175637483596802 -0.0 0.0 0.0 0.0 79.0 75.0 90.0 4.0 3.0 4.0 0.25 
35 10.18071699142456 -0.0 0.0 0.0 0.0 83.0 78.0 94.0 4.0 4.0 4.0 0.25 
36 10.185632705688477 -0.0 0.0 0.0 0.0 87.0 82.0 98.0 4.0 4.0 4.0 0.25 
37 10.190651655197144 -0.0 0.0 0.0 0.0 91.0 86.0 102.0 4.0 4.0 4.0 0.25 
38 10.195651769638062 -0.0 0.0 0.0 0.0 95.0 90.0 106.0 4.0 4.0 4.0 0.25 
39 10.200649738311768 -0.0 0.0 0.0 0.0 99.0 94.0 110.0 4.0 4.0 4.0 0.25 
40 10.205637693405151 -0.0 0.0 0.0 0.0 107.0 101.0 119.0 5.0 5.0 4.0 0.25 
41 10.210747718811035 -0.0 0.0 0.0 0.0 107.0 101.0 119.0 5.0 5.0 4.0 0.25 
42 10.215651988983154 -0.0 0.0 0.0 0.0 112.0 106.0 123.0 4.0 4.0 4.0 0.25 
43 10.220675706863403 -0.0 0.0 0.0 0.0 120.0 114.0 131.0 5.0 4.0 4.0 0.25 
44 10.22566294670105 -0.0 0.0 0.0 0.0 120.0 114.0 131.0 5.0 4.0 4.0 0.25 
45 10.230675220489502 -0.0 0.0 0.0 0.0 129.0 122.0 140.0 4.0 4.0 4.0 0.25 
46 10.235989570617676 -0.0 0.0 0.0 0.0 133.0 126.0 144.0 5.0 4.0 4.0 0.25 
47 10.240643501281738 -0.0 0.0 0.0 0.0 133.0 126.0 144.0 5.0 4.0 4.0 0.25 
48 10.246161699295044 -0.0 0.0 0.0 0.0 142.0 134.0 152.0 4.0 4.0 5.0 0.25 
49 10.25066328048706 -0.0 0.0 0.0 0.0 146.0 138.0 157.0 4.0 5.0 4.0 0.25 
50 10.255870342254639 -0.0 0.0 0.0 0.0 150.0 143.0 161.0 5.0 4.0 4.0 0.25 
51 10.260629653930664 -0.0 0.0 0.0 0.0 155.0 147.0 165.0 4.0 4.0 4.0 0.25 
52 10.266420125961304 -0.0 0.0 0.0 0.0 163.0 155.0 174.0 5.0 5.0 4.0 0.25 
53 10.270650386810303 -0.0 0.0 0.0 0.0 163.0 155.0 174.0 5.0 5.0 4.0 0.25 
54 10.275701761245728 -0.0 0.0 0.0 0.0 168.0 160.0 178.0 4.0 4.0 5.0 0.25 
55 10.280641555786133 -0.0 0.0 0.0 0.0 177.0 168.0 187.0 4.0 5.0 5.0 0.25 
56 10.285810947418213 -0.0 0.0 0.0 0.0 177.0 168.0 187.0 4.0 5.0 5.0 0.25 
57 10.290658950805664 -0.0 0.0 0.0 0.0 186.0 177.0 196.0 5.0 5.0 4.0 0.25 
58 10.295761346817017 -0.0 0.0 0.0 0.0 191.0 182.0 200.0 4.0 4.0 5.0 0.25 
59 10.300812482833862 -0.0 0.0 0.0 0.0 191.0 182.0 200.0 4.0 4.0 5.0 0.25 
60 10.30567717552185 -0.0 0.0 0.0 0.0 200.0 191.0 209.0 4.0 4.0 5.0 0.25 
61 10.310821771621704 -0.0 0.0 0.0 0.0 204.0 195.0 214.0 5.0 5.0 5.0 0.25 
62 10.315648317337036 -0.0 0.0 0.0 0.0 209.0 200.0 219.0 5.0 4.0 4.0 0.25 
63 10.320671796798706 -0.0 0.0 0.0 0.0 214.0 204.0 223.0 4.0 5.0 5.0 0.25 
64 10.325645923614502 -0.0 0.0 0.0 0.0 218.0 209.0 228.0 5.0 4.0 4.0 0.25 
65 10.33065915107727 -0.0 0.0 0.0 0.0 223.0 213.0 232.0 4.0 4.0 5.0 0.25 
66 10.335637092590332 -0.0 0.0 0.0 0.0 227.0 217.0 237.0 5.0 5.0 4.0 0.25 
67 10.340650081634521 -0.0 0.0 0.0 0.0 232.0 222.0 241.0 5.0 5.0 5.0 0.25 
68 10.345645427703857 -0.0 0.0 0.0 0.0 237.0 227.0 246.0 4.0 4.0 5.0 0.25 
69 10.350707769393921 -0.0 0.0 0.0 0.0 241.0 231.0 251.0 5.0 5.0 5.0 0.25 
70 10.355644464492798 -0.0 0.0 0.0 0.0 250.0 240.0 260.0 5.0 5.0 4.0 0.25 
71 10.360775470733643 -0.0 0.0 0.0 0.0 250.0 240.0 260.0 5.0 5.0 4.0 0.25 
72 10.36564302444458 -0.0 0.0 0.0 0.0 255.0 245.0 264.0 5.0 5.0 5.0 0.25 
73 10.370712518692017 -0.0 0.0 0.0 0.0 265.0 254.0 274.0 5.0 5.0 5.0 0.25 
74 10.375663995742798 -0.0 0.0 0.0 0.0 265.0 254.0 274.0 5.0 5.0 5.0 0.25 
75 10.380660772323608 -0.0 0.0 0.0 0.0 274.0 264.0 284.0 5.0 5.0 4.0 0.25 
76 10.38562536239624 -0.0 0.0 0.0 0.0 279.0 269.0 288.0 5.0 5.0 5.0 0.25 
77 10.390673160552979 -0.0 0.0 0.0 0.0 284.0 274.0 293.0 5.0 4.0 5.0 0.25 
78 10.395646572113037 -0.0 0.0 0.0 0.0 289.0 278.0 298.0 5.0 5.0 5.0 0.25 
79 10.400662899017334 -0.0 0.0 0.0 0.0 294.0 283.0 303.0 5.0 5.0 4.0 0.25 
80 10.405641794204712 -0.0 0.0 0.0 0.0 299.0 288.0 307.0 4.0 5.0 5.0 0.25 
81 10.41065788269043 -0.0 0.0 0.0 0.0 303.0 293.0 312.0 5.0 5.0 5.0 0.25 
82 10.415629625320435 -0.0 0.0 0.0 0.0 308.0 298.0 317.0 5.0 5.0 4.0 0.25 
83 10.4207181930542 -0.0 0.0 0.0 0.0 313.0 303.0 321.0 5.0 4.0 5.0 0.25 
84 10.425758361816406 -0.0 0.0 0.0 0.0 318.0 307.0 326.0 5.0 5.0 5.0 0.25 
85 10.4306480884552 -0.0 0.0 0.0 0.0 327.0 317.0 336.0 5.0 4.0 4.0 0.25 
86 10.435674905776978 -0.0 0.0 0.0 0.0 332.0 321.0 340.0 5.0 5.0 4.0 0.25 
87 10.440650224685669 -0.0 0.0 0.0 0.0 332.0 321.0 340.0 5.0 5.0 4.0 0.25 
88 10.44565200805664 -0.0 0.0 0.0 0.0 342.0 330.0 348.0 4.0 4.0 4.0 0.25 
89 10.45091438293457 -0.0 0.0 0.0 0.0 346.0 334.0 352.0 4.0 4.0 4.0 0.25 
90 10.45564317703247 -0.0 0.0 0.0 0.0 350.0 338.0 356.0 4.0 4.0 4.0 0.25 
91 10.460954904556274 -0.0 0.0 0.0 0.0 354.0 342.0 360.0 4.0 4.0 4.0 0.25 
92 10.465654850006104 -0.0 0.0 0.0 0.0 358.0 346.0 364.0 4.0 4.0 3.0 0.25 
93 10.470654726028442 -0.0 0.0 0.0 0.0 362.0 350.0 367.0 4.0 4.0 4.0 0.25 
94 10.475645065307617 -0.0 0.0 0.0 0.0 366.0 354.0 371.0 3.0 3.0 4.0 0.25 
95 10.480806589126587 -0.0 0.0 0.0 0.0 373.0 361.0 378.0 4.0 4.0 4.0 0.25 
96 10.48565673828125 -0.0 0.0 0.0 0.0 373.0 361.0 378.0 4.0 4.0 4.0 0.25 
97 10.490638494491577 -0.0 0.0 0.0 0.0 377.0 365.0 382.0 4.0 4.0 3.0 0.25 
